node,electricity,blue_water
fips31175,0.3182,1
fips31177,0.1973,1
fips31179,0.3736,1
fips31181,0.2552,1
fips31183,0.4297,1
fips31185,0.3324,1
fips32001,0.0349,1
fips32003,0.4236,1
fips32005,0.0744,1
fips32007,0.0516,1
fips32009,0.5947,1
fips32011,0.5784,1
fips32013,0.5874,1
fips32015,0.5563,1
fips32017,0.4181,1
fips32019,0.0622,1
fips32021,0.6534,1
fips32023,0.5491,1
fips32027,0.1899,1
fips32031,0.1486,1
fips32033,0.4301,1
fips34001,0.3743,1
fips34005,0.1184,1
fips34011,0.3529,1
fips35001,0.0403,1
fips35003,0.0281,1
fips35005,0.1967,1
fips35007,0.0412,1
fips35009,0.4396,1
fips35011,0.0832,1
fips35013,0.0886,1
fips35015,0.1463,1
fips35017,0.0407,1
fips35019,0.0358,1
fips35023,0.3028,1
fips35025,0.2602,1
fips35027,0.0688,1
fips35029,0.0761,1
fips35035,0.2243,1
fips35037,0.0565,1
fips35039,0.0262,1
fips35041,0.2053,1
fips35043,0.0285,1
fips35045,0.0256,1
fips35047,0.0256,1
fips35049,0.1699,1
fips35051,0.1064,1
fips35053,0.0717,1
fips35055,0.027,1
fips35057,0.2966,1
fips35059,0.2268,1
fips35061,0.0376,1
fips37163,0.0859,1
fips38021,0.2937,1
fips38035,0.2804,1
fips38043,0.317,1
fips38049,0.13,1
fips38053,0.0329,1
fips38073,0.3005,1
fips38081,0.3195,1
fips38105,0.1065,1
fips39085,0.0354,1
fips40007,0.4473,1
fips40009,0.2409,1
fips40015,0.3991,1
fips40025,0.4772,1
fips40039,0.3718,1
fips40045,0.3818,1
fips40051,0.148,1
fips40057,0.2184,1
fips40059,0.1691,1
fips40065,0.0505,1
fips40073,0.1997,1
fips40093,0.2135,1
fips40101,0.0588,1
fips40139,0.5384,1
fips40141,0.1655,1
fips40149,0.3403,1
fips41001,0.0745,1
fips41003,0.0618,1
fips41005,0.1235,1
fips41011,0.0484,1
fips41013,0.0753,1
fips41017,0.0456,1
fips41019,0.0357,1
fips41021,1.0242,1
fips41023,0.035,1
fips41025,0.2841,1
fips41027,0.028,1
fips41029,0.028,1
fips41031,0.0401,1
fips41033,0.0505,1
fips41035,0.1387,1
fips41037,0.1343,1
fips41039,0.0893,1
fips41043,0.1173,1
fips41045,0.0409,1
fips41047,0.1041,1
fips41049,0.1735,1
fips41051,0.1004,1
fips41053,0.0565,1
fips41059,0.2227,1
fips41061,0.1871,1
fips41063,0.0629,1
fips41065,0.267,1
fips41067,0.051,1
fips41069,0.0412,1
fips41071,0.0614,1
fips45017,0.3978,1
fips45075,0.3093,1
fips45085,0.3452,1
fips46007,0.4599,1
fips46027,0.261,1
fips46065,0.0561,1
fips46115,0.192,1
fips46119,0.0392,1
fips46121,0.3865,1
fips46125,0.2317,1
fips46135,0.277,1
fips48003,0.3836,1
fips48013,1.0278,1
fips48017,0.3346,1
fips48039,0.0542,1
fips48041,0.2004,1
fips48045,0.1515,1
fips48051,0.1652,1
fips48061,0.0259,1
fips48065,0.7058,1
fips48069,0.5115,1
fips48071,0.0257,1
fips48075,0.284,1
fips48079,0.3454,1
fips48087,0.2319,1
fips48089,0.1685,1
fips48093,0.2436,1
fips48107,0.373,1
fips48109,1.3093,1
fips48111,0.6144,1
fips48115,0.2938,1
fips48117,0.4659,1
fips48129,0.3274,1
fips48141,0.0999,1
fips48147,0.0615,1
fips48153,0.4375,1
fips48157,0.2138,1
fips48163,1.3128,1
fips48165,0.3483,1
fips48173,0.3466,1
fips48179,0.5616,1
fips48189,0.3865,1
fips48191,0.2364,1
fips48195,0.646,1
fips48197,0.2525,1
fips48205,0.7117,1
fips48207,0.2742,1
fips48215,0.0257,1
fips48219,0.3055,1
fips48229,0.4336,1
fips48233,0.5623,1
fips48239,0.4923,1
fips48245,0.0263,1
fips48275,0.2193,1
fips48279,0.3737,1
fips48291,0.0412,1
fips48295,0.4916,1
fips48303,0.2986,1
fips48305,0.2359,1
fips48317,0.2702,1
fips48321,0.3117,1
fips48323,0.026,1
fips48325,0.2256,1
fips48335,0.5558,1
fips48341,0.7183,1
fips48353,0.3875,1
fips48357,0.6641,1
fips48369,0.5594,1
fips48371,1.0354,1
fips48383,0.3885,1
