node,electricity,blue_water
fips48045,0.142,1
fips48051,0.1548,1
fips48061,0.0243,1
fips48065,0.6617,1
fips48069,0.4795,1
fips48071,0.0241,1
fips48075,0.2663,1
fips48079,0.3238,1
fips48087,0.2174,1
fips48089,0.158,1
fips48093,0.2283,1
fips48107,0.3496,1
fips48109,1.2275,1
fips48111,0.576,1
fips48115,0.2755,1
fips48117,0.4368,1
fips48129,0.3069,1
fips48141,0.0937,1
fips48147,0.0576,1
fips48153,0.4102,1
fips48157,0.2005,1
fips48163,1.2308,1
fips48165,0.3265,1
fips48173,0.325,1
fips48179,0.5265,1
fips48189,0.3623,1
fips48191,0.2216,1
fips48195,0.6056,1
fips48197,0.2367,1
fips48205,0.6672,1
fips48207,0.257,1
fips48215,0.0241,1
fips48219,0.2864,1
fips48229,0.4065,1
fips48233,0.5271,1
fips48239,0.4616,1
fips48245,0.0246,1
fips48275,0.2056,1
fips48279,0.3503,1
fips48291,0.0386,1
fips48295,0.4608,1
fips48303,0.2799,1
fips48305,0.2212,1
fips48317,0.2533,1
fips48321,0.2922,1
fips48323,0.0244,1
fips48325,0.2115,1
fips48335,0.5211,1
fips48341,0.6734,1
fips48353,0.3633,1
fips48357,0.6226,1
fips48369,0.5244,1
fips48371,0.9707,1
fips48383,0.3642,1
fips48389,0.9881,1
fips48395,0.1568,1
fips48421,0.5933,1
fips48437,0.252,1
fips48445,0.2835,1
fips48451,0.1968,1
fips48463,0.4709,1
fips48481,0.3487,1
fips48483,0.2508,1
fips48487,0.1755,1
fips48489,0.0244,1
fips48493,0.862,1
fips48501,0.3234,1
fips48507,0.6645,1
fips49001,0.3386,1
fips49003,0.0734,1
fips49005,0.0822,1
fips49007,0.0253,1
fips49009,0.0266,1
fips49011,0.045,1
fips49013,0.0241,1
fips49015,0.0244,1
fips49017,0.0334,1
fips49019,0.0379,1
fips49021,0.4604,1
fips49023,0.3031,1
fips49025,0.062,1
fips49027,0.3036,1
fips49029,0.0254,1
fips49031,0.0435,1
fips49033,0.028,1
fips49035,0.0388,1
fips49037,0.0598,1
fips49039,0.0449,1
fips49041,0.1922,1
fips49043,0.025,1
fips49045,0.1516,1
fips49047,0.0266,1
fips49049,0.0913,1
fips49051,0.0321,1
fips49053,0.0935,1
fips49055,0.035,1
fips49057,0.0349,1
fips51001,0.0624,1
fips53001,0.1278,1
fips53005,0.0642,1
fips53007,0.0372,1
fips53017,0.0681,1
fips53021,0.0818,1
fips53025,0.0788,1
fips53037,0.0515,1
fips53039,0.1813,1
fips53043,0.198,1
fips53047,0.1229,1
fips53057,0.1953,1
fips53071,0.1234,1
fips53073,0.2153,1
fips53077,0.0712,1
fips55001,0.3244,1
fips55033,0.385,1
fips55053,0.0776,1
fips55057,0.1977,1
fips55067,0.3828,1
fips55081,0.0625,1
fips55085,0.0344,1
fips55097,0.3097,1
fips55137,0.3833,1
fips55141,0.044,1
fips56001,0.024,1
fips56003,0.0258,1
fips56007,0.0251,1
fips56009,0.0312,1
fips56011,0.0431,1
fips56013,0.024,1
fips56015,0.1044,1
fips56017,0.0344,1
fips56019,0.025,1
fips56021,0.2785,1
fips56023,0.0304,1
fips56025,0.024,1
fips56027,0.3494,1
fips56029,0.024,1
fips56031,0.0823,1
fips56033,0.024,1
fips56035,0.0584,1
fips56037,0.0621,1
fips56039,0.024,1
fips56041,0.0584,1
fips56043,0.0339,1
fips56045,0.0296,1
