node,STUSPS,well_depth (m),NaN values,well_pressure [bar]
fips16077,ID,75.81329809764581,Filled with US average,7.437284543379055
fips16081,ID,75.81329809764581,Filled with US average,7.437284543379055
fips16083,ID,75.81329809764581,Filled with US average,7.437284543379055
fips16085,ID,75.81329809764581,Filled with US average,7.437284543379055
fips16087,ID,75.81329809764581,Filled with US average,7.437284543379055
fips17017,IL,75.81329809764581,Filled with US average,7.437284543379055
fips17101,IL,75.81329809764581,Filled with US average,7.437284543379055
fips17125,IL,75.81329809764581,Filled with US average,7.437284543379055
fips17179,IL,75.81329809764581,Filled with US average,7.437284543379055
fips17193,IL,75.81329809764581,Filled with US average,7.437284543379055
fips17195,IL,75.81329809764581,Filled with US average,7.437284543379055
fips18073,IN,75.81329809764581,Filled with US average,7.437284543379055
fips18091,IN,75.81329809764581,Filled with US average,7.437284543379055
fips20009,KS,116.2812,Filled with state average,11.407185720000005
fips20023,KS,116.2812,Filled with state average,11.407185720000005
fips20027,KS,116.2812,Filled with state average,11.407185720000005
fips20029,KS,116.2812,Filled with state average,11.407185720000005
fips20039,KS,116.2812,Filled with state average,11.407185720000005
fips20047,KS,116.2812,Filled with state average,11.407185720000005
fips20055,KS,116.2812,Filled with state average,11.407185720000005
fips20057,KS,116.2812,Filled with state average,11.407185720000005
fips20063,KS,116.2812,Filled with state average,11.407185720000005
fips20065,KS,116.2812,Filled with state average,11.407185720000005
fips20067,KS,116.2812,Filled with state average,11.407185720000005
fips20069,KS,116.2812,Filled with state average,11.407185720000005
fips20071,KS,116.2812,Filled with state average,11.407185720000005
fips20075,KS,116.2812,Filled with state average,11.407185720000005
fips20079,KS,116.2812,Filled with state average,11.407185720000005
fips20081,KS,116.2812,Filled with state average,11.407185720000005
fips20083,KS,116.2812,Filled with state average,11.407185720000005
fips20089,KS,116.2812,Filled with state average,11.407185720000005
fips20093,KS,116.2812,Filled with state average,11.407185720000005
fips20095,KS,116.2812,Filled with state average,11.407185720000005
fips20097,KS,116.2812,Filled with state average,11.407185720000005
fips20101,KS,116.2812,Filled with state average,11.407185720000005
fips20113,KS,116.2812,Filled with state average,11.407185720000005
fips20119,KS,116.2812,Filled with state average,11.407185720000005
fips20123,KS,116.2812,Filled with state average,11.407185720000005
fips20129,KS,116.2812,Filled with state average,11.407185720000005
fips20137,KS,116.2812,Filled with state average,11.407185720000005
fips20145,KS,116.2812,Filled with state average,11.407185720000005
fips20147,KS,116.2812,Filled with state average,11.407185720000005
fips20151,KS,116.2812,Filled with state average,11.407185720000005
fips20153,KS,116.2812,Filled with state average,11.407185720000005
fips20155,KS,116.2812,Filled with state average,11.407185720000005
fips20157,KS,116.2812,Filled with state average,11.407185720000005
fips20159,KS,116.2812,Filled with state average,11.407185720000005
fips20165,KS,116.2812,Filled with state average,11.407185720000005
fips20171,KS,116.2812,Filled with state average,11.407185720000005
fips20173,KS,116.2812,Filled with state average,11.407185720000005
fips20175,KS,124.66320000000002,,12.229459920000002
fips20179,KS,116.2812,Filled with state average,11.407185720000005
fips20181,KS,116.2812,Filled with state average,11.407185720000005
fips20185,KS,116.2812,Filled with state average,11.407185720000005
fips20187,KS,116.2812,Filled with state average,11.407185720000005
fips20189,KS,107.8992,,10.58491152
fips20193,KS,116.2812,Filled with state average,11.407185720000005
fips20199,KS,116.2812,Filled with state average,11.407185720000005
fips20203,KS,116.2812,Filled with state average,11.407185720000005
fips22001,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22003,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22009,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22019,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22023,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22025,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22029,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22035,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22039,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22041,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22053,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22065,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22067,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22069,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22073,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22077,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22079,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22083,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22097,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22107,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22113,LA,75.81329809764581,Filled with US average,7.437284543379055
fips22123,LA,75.81329809764581,Filled with US average,7.437284543379055
fips24011,MD,75.81329809764581,Filled with US average,7.437284543379055
fips24019,MD,75.81329809764581,Filled with US average,7.437284543379055
fips24035,MD,75.81329809764581,Filled with US average,7.437284543379055
fips25023,MA,75.81329809764581,Filled with US average,7.437284543379055
fips26005,MI,33.45120000000001,,3.281562720000001
fips26009,MI,38.268703423613466,Filled with state average,3.754159805856481
fips26021,MI,34.686240000000005,,3.402720144000001
fips26023,MI,21.92574062176166,,2.150915154994819
fips26027,MI,40.34066771037182,,3.9574195023874754
fips26077,MI,30.295183425414365,,2.971957494033149
fips26107,MI,38.268703423613466,Filled with state average,3.754159805856481
fips26117,MI,38.268703423613466,Filled with state average,3.754159805856481
fips26149,MI,38.268703423613466,Filled with state average,3.754159805856481
fips26159,MI,38.268703423613466,Filled with state average,3.754159805856481
fips27037,MN,77.978,,7.6496418
fips27057,MN,25.146,,2.4668226000000004
fips27097,MN,27.49603361344538,,2.697360897478992
fips27111,MN,29.8704,,2.93028624
fips27121,MN,17.8308,,1.74920148
fips27141,MN,30.938972093023256,,3.035113162325582
fips27145,MN,17.81489739130435,,1.7476414340869568
fips27151,MN,43.586400000000005,,4.27582584
fips27159,MN,99.9744,,9.80748864
fips28011,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28015,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28027,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28033,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28051,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28053,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28055,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28083,MS,75.81329809764581,Filled with US average,7.437284543379055
