node,sprinkler_percentage,drip_percentage,surface_percentage,well_pressure [bar],gw_percentages,sw_percentages,operating_pressure,pressure_head,conversion_factor_el,conversion_factor_diesel,unit_conversion_factor
fips06067,0.1,0.245,0.655,4.181998940689655,0.6754331397660851,0.3245668602339149,0.81355,41.428739101581584,0.1411,0.3763,kWh/m3
fips06069,0.255,0.732,0.013,4.181998940689655,0.7393670543464022,0.2606329456535979,1.50233,49.87569362705112,0.1699,0.453,kWh/m3
fips06071,0.713,0.259,0.028,4.181998940689655,0.7393236088238183,0.2606763911761817,2.40948,56.70984707356651,0.1932,0.5151,kWh/m3
fips06073,0.338,0.625,0.037,4.181998940689655,0.7393942847542957,0.2606057152457042,1.6541700000000001,51.02171212646751,0.1738,0.4634,kWh/m3
fips06077,0.186,0.41,0.404,4.181998940689655,0.6104544610151251,0.3895455389848749,1.13364,40.11167690611329,0.1366,0.3643,kWh/m3
fips06079,0.118,0.864,0.017,4.181998940689655,0.7394127551084752,0.2605872448915248,1.22497,47.78778594517116,0.1628,0.434,kWh/m3
fips06081,0.828,0.172,0.0,4.181998940689655,0.7393196936874578,0.2606803063125423,2.656,58.56745445734798,0.1995,0.5319,kWh/m3
fips06083,0.345,0.587,0.068,4.181998940689655,0.7394142358441829,0.2605857641558172,1.64988,50.99056381718474,0.1737,0.4631,kWh/m3
fips06087,0.125,0.874,0.001,4.181998940689655,0.7393251165933019,0.2606748834066981,1.2494100000000001,47.96714626239838,0.1634,0.4357,kWh/m3
fips06089,0.312,0.124,0.564,4.181998940689655,0.6688541025195945,0.3311458974804055,1.29124,44.35064545922808,0.1511,0.4028,kWh/m3
fips06091,0.544,0.0,0.456,4.181998940689655,0.7394107929179,0.2605892070820999,1.8189600000000001,52.26476869116308,0.178,0.4747,kWh/m3
fips06093,0.725,0.072,0.203,4.181998940689655,0.7394150875806732,0.2605849124193268,2.33023,56.11865782390861,0.1911,0.5097,kWh/m3
fips06095,0.025,0.035,0.941,4.181998940689655,0.7393968372094926,0.2606031627905074,0.4958099999999999,42.29110230189824,0.144,0.3841,kWh/m3
fips06097,0.201,0.778,0.021,4.181998940689655,0.7394062029518086,0.2605937970481913,1.38961,49.02836097010893,0.167,0.4453,kWh/m3
fips06099,0.1,0.453,0.447,4.181998940689655,0.6206916964869149,0.3793083035130851,0.93627,39.41760481012178,0.1343,0.358,kWh/m3
fips06101,0.088,0.279,0.633,4.181998940689655,0.764990201266823,0.235009798733177,0.80253,45.90332107602939,0.1563,0.4169,kWh/m3
fips06103,0.428,0.288,0.284,4.181998940689655,0.7394130015980523,0.2605869984019477,1.68844,51.28113025314402,0.1747,0.4658,kWh/m3
fips06105,0.966,0.034,0.0,4.181998940689655,0.7392009514547002,0.2607990485452998,2.9319999999999995,60.638886703420205,0.2065,0.5508,kWh/m3
fips06107,0.087,0.422,0.491,4.181998940689655,0.846980491032887,0.153019508967113,0.88431,50.775380574002334,0.1729,0.4612,kWh/m3
fips06111,0.235,0.714,0.052,4.181998940689655,0.7394255610013201,0.2605744389986799,1.4403199999999998,49.411685390905156,0.1683,0.4488,kWh/m3
fips06113,0.07,0.251,0.679,4.181998940689655,0.3676543690149212,0.6323456309850788,0.73939,25.477779262653073,0.0868,0.2314,kWh/m3
fips06115,0.104,0.311,0.585,4.181998940689655,0.7393943193284986,0.2606056806715013,0.8628499999999999,45.057417417087905,0.1535,0.4092,kWh/m3
fips08001,0.756,0.0,0.244,0.0,0.0489956504449456,0.9510043495550544,2.3680399999999997,8.216347197549936,0.028,0.0746,kWh/m3
fips08003,0.594,0.0,0.406,0.0,0.6565283228144969,0.3434716771855031,1.94846,20.073589968105345,0.0684,0.1823,kWh/m3
fips08007,0.048,0.0,0.952,0.0,0.0031293375463244,0.9968706624536756,0.5343199999999999,7.05068366603213,0.024,0.064,kWh/m3
fips08009,0.876,0.0,0.124,0.0,0.9988585650964728,0.0011414349035271,2.67884,34.309707222457035,0.1169,0.3116,kWh/m3
fips08011,0.149,0.0,0.851,0.0,0.051111090138613,0.948888909861387,0.7959099999999999,7.4483162869747535,0.0254,0.0677,kWh/m3
fips08013,0.147,0.0,0.853,0.0,0.000232693450235,0.9997673065497648,0.7907299999999999,7.035514757307893,0.024,0.0639,kWh/m3
fips08015,0.286,0.0,0.714,0.0,0.0001033843606557,0.9998966156393444,1.1507399999999999,7.034851870735788,0.024,0.0639,kWh/m3
fips08017,0.815,0.0,0.185,0.0,1.0,0.0,2.52085,32.73037716615698,0.1115,0.2973,kWh/m3
fips08021,0.336,0.0,0.664,0.0,0.2026319058292638,0.7973680941707362,1.28024,9.678057809570404,0.033,0.0879,kWh/m3
fips08023,0.634,0.0,0.366,0.0,0.4115546621730929,0.588445337826907,2.05206,15.64255718714492,0.0533,0.1421,kWh/m3
fips08025,0.091,0.003,0.906,0.0,0.3240677454783709,0.6759322545216291,0.64746,9.172486263888134,0.0312,0.0833,kWh/m3
fips08027,0.008,0.0,0.992,0.0,0.0017099981099732,0.9982900018900268,0.43072,7.041147098735245,0.024,0.064,kWh/m3
fips08029,0.092,0.001,0.907,0.0,3.4895559614017686e-05,0.999965104440386,0.6488700000000001,7.033869955981312,0.024,0.0639,kWh/m3
fips08037,0.253,0.0,0.747,0.0,9.208323994865046e-05,0.9999079167600512,1.06527,7.034639077604689,0.024,0.0639,kWh/m3
fips08039,0.554,0.0,0.446,0.0,0.2664238143621147,0.7335761856378854,1.8448600000000002,12.043982040408672,0.041,0.1094,kWh/m3
fips08043,0.075,0.005,0.919,0.0,0.0020024456870398,0.9979975543129602,0.6067899999999999,7.046025117415278,0.024,0.064,kWh/m3
fips08045,0.171,0.0,0.829,0.0,0.0010744875805567,0.9989255124194432,0.8528899999999999,7.042980832951896,0.024,0.064,kWh/m3
fips08049,0.017,0.0,0.983,0.0,0.0,1.0,0.45402999999999993,7.033639143730886,0.024,0.0639,kWh/m3
fips08051,0.009,0.0,0.991,0.0,0.0,1.0,0.43331,7.033639143730886,0.024,0.0639,kWh/m3
fips08053,0.0,0.0,1.0,0.0,0.0121907519701648,0.9878092480298352,0.41,7.084589279386009,0.0241,0.0643,kWh/m3
fips08055,0.065,0.0,0.935,0.0,0.0,1.0,0.57835,7.033639143730886,0.024,0.0639,kWh/m3
fips08057,0.0,0.0,1.0,0.0,0.0,1.0,0.41,7.033639143730886,0.024,0.0639,kWh/m3
fips08059,0.367,0.0,0.633,0.0,0.0019230603551723,0.9980769396448276,1.36053,7.060309697298904,0.024,0.0641,kWh/m3
fips08063,0.905,0.0,0.095,0.0,1.0,0.0,2.7539499999999997,35.1065239551478,0.1196,0.3189,kWh/m3
fips08065,0.009,0.0,0.991,0.0,0.0025496217585128,0.9974503782414872,0.43331,7.044900882815302,0.024,0.064,kWh/m3
fips08067,0.183,0.0,0.817,0.0,0.0003326251551596,0.9996673748448404,0.8839699999999999,7.036636398148892,0.024,0.0639,kWh/m3
fips08069,0.381,0.0,0.619,0.0,0.000709921983225,0.999290078016775,1.39679,7.0437473183175205,0.024,0.064,kWh/m3
fips08071,0.002,0.0,0.998,0.0,0.0011277790336223,0.9988722209663776,0.41518,7.038412143722519,0.024,0.0639,kWh/m3
fips08075,0.803,0.0,0.197,0.0,0.4551428970597371,0.5448571029402628,2.48977,18.585128754458935,0.0633,0.1688,kWh/m3
fips08077,0.115,0.0,0.885,0.0,4.7248429140926014e-05,0.999952751570859,0.7078500000000001,7.033980069322807,0.024,0.0639,kWh/m3
fips08081,0.205,0.0,0.795,0.0,0.0004925715792409,0.9995074284207592,0.94095,7.0383637637868155,0.024,0.0639,kWh/m3
fips08083,0.264,0.0,0.736,0.0,0.0,1.0,1.09376,7.033639143730886,0.024,0.0639,kWh/m3
fips08085,0.065,0.0,0.935,0.0,0.0,1.0,0.57835,7.033639143730886,0.024,0.0639,kWh/m3
fips08087,0.798,0.0,0.202,0.0,0.1221374167006595,0.8778625832993404,2.47682,10.117353684327496,0.0345,0.0919,kWh/m3
fips08089,0.084,0.039,0.877,0.0,0.0366411112688143,0.9633588887311856,0.65057,7.276632087239066,0.0248,0.0661,kWh/m3
fips08091,0.005,0.0,0.995,0.0,0.0002529580458557,0.999747041954144,0.42295,7.03472975133022,0.024,0.0639,kWh/m3
fips08093,0.0,0.0,1.0,0.0,0.0,1.0,0.41,7.033639143730886,0.024,0.0639,kWh/m3
fips08095,0.974,0.0,0.026,0.0,1.0,0.0,2.93266,36.9282364933741,0.1258,0.3354,kWh/m3
fips08097,0.369,0.0,0.631,0.0,0.0,1.0,1.36571,7.033639143730886,0.024,0.0639,kWh/m3
fips08099,0.365,0.0,0.635,0.0,0.3296572079584254,0.6703427920415748,1.35535,11.588184473052515,0.0395,0.1053,kWh/m3
fips08101,0.149,0.006,0.845,0.0,0.0371210502277881,0.962878949772212,0.79945,7.336151107080582,0.025,0.0666,kWh/m3
fips08103,0.069,0.002,0.929,0.0,0.0,1.0,0.58989,7.033639143730886,0.024,0.0639,kWh/m3
fips08105,0.659,0.0,0.341,0.0,0.2098960795282012,0.7901039204717989,2.11681,11.562794292620707,0.0394,0.105,kWh/m3
fips08107,0.046,0.0,0.954,0.0,0.0001389602581054,0.9998610397418946,0.5291399999999999,7.03438867921482,0.024,0.0639,kWh/m3
fips08109,0.494,0.0,0.506,0.0,0.3396318459613315,0.6603681540386684,1.68946,12.882715784687369,0.0439,0.117,kWh/m3
fips08113,0.061,0.0,0.939,0.0,0.0,1.0,0.56799,7.033639143730886,0.024,0.0639,kWh/m3
fips08115,0.831,0.0,0.169,0.0,0.5701803148808442,0.4298196851191558,2.56229,21.926272365097226,0.0747,0.1991,kWh/m3
fips08117,0.074,0.0,0.926,0.0,0.0004789071568555,0.9995210928431444,0.60166,7.036576343323074,0.024,0.0639,kWh/m3
