node,price_import
fips08065,0.1151
fips08067,0.1151
fips08069,0.1151
fips08071,0.1151
fips08075,0.1151
fips08077,0.1151
fips08081,0.1151
fips08083,0.1151
fips08085,0.1151
fips08087,0.1151
fips08089,0.1151
fips08091,0.1151
fips08093,0.1151
fips08095,0.1151
fips08097,0.1151
fips08099,0.1151
fips08101,0.1151
fips08103,0.1151
fips08105,0.1151
fips08107,0.1151
fips08109,0.1151
fips08113,0.1151
fips08115,0.1151
fips08117,0.1151
fips08121,0.1151
fips08123,0.1151
fips08125,0.1151
fips10001,0.1219
fips10005,0.1219
fips12001,0.1117
fips12009,0.1117
fips12011,0.1117
fips12015,0.1117
fips12021,0.1117
fips12027,0.1117
fips12035,0.1117
fips12041,0.1117
fips12043,0.1117
fips12047,0.1117
fips12049,0.1117
fips12051,0.1117
fips12055,0.1117
fips12057,0.1117
fips12061,0.1117
fips12063,0.1117
fips12069,0.1117
fips12071,0.1117
fips12075,0.1117
fips12079,0.1117
fips12081,0.1117
fips12083,0.1117
fips12085,0.1117
fips12086,0.1117
fips12093,0.1117
fips12095,0.1117
fips12097,0.1117
fips12099,0.1117
fips12101,0.1117
fips12105,0.1117
fips12107,0.1117
fips12109,0.1117
fips12111,0.1117
fips12121,0.1117
fips12127,0.1117
fips13007,0.1117
fips13027,0.1117
fips13033,0.1117
fips13037,0.1117
fips13069,0.1117
fips13071,0.1117
fips13081,0.1117
fips13087,0.1117
fips13093,0.1117
fips13095,0.1117
fips13099,0.1117
fips13155,0.1117
fips13163,0.1117
fips13177,0.1117
fips13193,0.1117
fips13201,0.1117
fips13205,0.1117
fips13235,0.1117
fips13243,0.1117
fips13251,0.1117
fips13253,0.1117
fips13261,0.1117
fips13273,0.1117
fips13277,0.1117
fips13287,0.1117
fips13315,0.1117
fips13321,0.1117
fips16001,0.1151
fips16003,0.1151
fips16005,0.1151
fips16007,0.1151
fips16011,0.1151
fips16013,0.1151
fips16019,0.1151
fips16021,0.1151
fips16023,0.1151
fips16025,0.1151
fips16027,0.1151
fips16029,0.1151
fips16031,0.1151
fips16033,0.1151
fips16035,0.1151
fips16037,0.1151
fips16039,0.1151
fips16041,0.1151
fips16043,0.1151
fips16045,0.1151
fips16047,0.1151
fips16049,0.1151
fips16051,0.1151
fips16053,0.1151
fips16055,0.1151
fips16057,0.1151
fips16059,0.1151
fips16061,0.1151
fips16063,0.1151
fips16065,0.1151
fips16067,0.1151
fips16069,0.1151
fips16071,0.1151
fips16073,0.1151
fips16075,0.1151
fips16077,0.1151
fips16081,0.1151
fips16083,0.1151
fips16085,0.1151
fips16087,0.1151
fips17017,0.111
fips17101,0.111
fips17125,0.111
fips17179,0.111
fips17193,0.111
fips17195,0.111
fips18073,0.111
fips18091,0.111
fips20009,0.111
fips20023,0.111
fips20027,0.111
fips20029,0.111
fips20039,0.111
fips20047,0.111
fips20055,0.111
fips20057,0.111
fips20063,0.111
fips20065,0.111
fips20067,0.111
fips20069,0.111
fips20071,0.111
fips20075,0.111
fips20079,0.111
fips20081,0.111
fips20083,0.111
fips20089,0.111
fips20093,0.111
fips20095,0.111
fips20097,0.111
fips20101,0.111
fips20113,0.111
fips20119,0.111
fips20123,0.111
fips20129,0.111
fips20137,0.111
fips20145,0.111
fips20147,0.111
fips20151,0.111
fips20153,0.111
fips20155,0.111
fips20157,0.111
fips20159,0.111
fips20165,0.111
fips20171,0.111
fips20173,0.111
fips20175,0.111
fips20179,0.111
fips20181,0.111
fips20185,0.111
fips20187,0.111
fips20189,0.111
fips20193,0.111
fips20199,0.111
fips20203,0.111
fips22001,0.1058
fips22003,0.1058
fips22009,0.1058
fips22019,0.1058
fips22023,0.1058
fips22025,0.1058
fips22029,0.1058
fips22035,0.1058
fips22039,0.1058
fips22041,0.1058
fips22053,0.1058
fips22065,0.1058
fips22067,0.1058
fips22069,0.1058
fips22073,0.1058
fips22077,0.1058
fips22079,0.1058
fips22083,0.1058
fips22097,0.1058
fips22107,0.1058
fips22113,0.1058
fips22123,0.1058
fips24011,0.1219
fips24019,0.1219
fips24035,0.1219
fips25023,0.1207
fips26005,0.111
fips26009,0.111
fips26021,0.111
fips26023,0.111
fips26027,0.111
fips26077,0.111
fips26107,0.111
fips26117,0.111
fips26149,0.111
fips26159,0.111
fips27037,0.111
fips27057,0.111
fips27097,0.111
fips27111,0.111
fips27121,0.111
fips27141,0.111
fips27145,0.111
fips27151,0.111
fips27159,0.111
fips28011,0.1058
fips28015,0.1058
fips28027,0.1058
fips28033,0.1058
fips28051,0.1058
fips28053,0.1058
fips28055,0.1058
fips28083,0.1058
fips28103,0.1058
fips28107,0.1058
fips28119,0.1058
fips28125,0.1058
fips28133,0.1058
fips28135,0.1058
fips28143,0.1058
fips28151,0.1058
fips28163,0.1058
fips29005,0.111
fips29007,0.111
fips29011,0.111
fips29023,0.111
fips29031,0.111
fips29069,0.111
fips29087,0.111
fips29133,0.111
fips29143,0.111
fips29155,0.111
fips29181,0.111
fips29201,0.111
fips29207,0.111
fips30001,0.1151
fips30003,0.1151
fips30005,0.1151
fips30007,0.1151
fips30009,0.1151
fips30011,0.1151
fips30013,0.1151
fips30015,0.1151
fips30017,0.1151
fips30021,0.1151
fips30023,0.1151
fips30027,0.1151
fips30029,0.1151
fips30031,0.1151
fips30035,0.1151
fips30037,0.1151
fips30039,0.1151
fips30041,0.1151
fips30043,0.1151
fips30045,0.1151
fips30047,0.1151
fips30049,0.1151
fips30051,0.1151
fips30053,0.1151
fips30055,0.1151
fips30057,0.1151
fips30059,0.1151
fips30063,0.1151
fips30065,0.1151
fips30067,0.1151
fips30069,0.1151
fips30071,0.1151
fips30073,0.1151
fips30075,0.1151
fips30077,0.1151
fips30079,0.1151
fips30081,0.1151
fips30083,0.1151
fips30085,0.1151
fips30087,0.1151
fips30089,0.1151
fips30091,0.1151
fips30093,0.1151
fips30095,0.1151
fips30097,0.1151
fips30099,0.1151
fips30101,0.1151
fips30103,0.1151
fips30105,0.1151
fips30107,0.1151
fips30111,0.1151
fips31001,0.111
fips31003,0.111
fips31005,0.111
fips31007,0.111
fips31009,0.111
fips31011,0.111
fips31013,0.111
fips31015,0.111
fips31017,0.111
fips31019,0.111
fips31021,0.111
fips31023,0.111
fips31027,0.111
fips31029,0.111
fips31031,0.111
fips31033,0.111
fips31035,0.111
fips31037,0.111
fips31039,0.111
fips31041,0.111
fips31043,0.111
fips31045,0.111
fips31047,0.111
fips31049,0.111
fips31051,0.111
fips31053,0.111
fips31055,0.111
fips31057,0.111
fips31059,0.111
fips31061,0.111
fips31063,0.111
fips31065,0.111
fips31067,0.111
fips31069,0.111
fips31071,0.111
fips31073,0.111
fips31077,0.111
fips31079,0.111
