node,price_import
fips13093,0.0824
fips13095,0.0824
fips13099,0.0824
fips13155,0.0824
fips13163,0.0824
fips13177,0.0824
fips13193,0.0824
fips13201,0.0824
fips13205,0.0824
fips13235,0.0824
fips13243,0.0824
fips13251,0.0824
fips13253,0.0824
fips13261,0.0824
fips13273,0.0824
fips13277,0.0824
fips13287,0.0824
fips13315,0.0824
fips13321,0.0824
fips16001,0.0844
fips16003,0.0844
fips16005,0.0844
fips16007,0.0844
fips16011,0.0844
fips16013,0.0844
fips16019,0.0844
fips16021,0.0844
fips16023,0.0844
fips16025,0.0844
fips16027,0.0844
fips16029,0.0844
fips16031,0.0844
fips16033,0.0844
fips16035,0.0844
fips16037,0.0844
fips16039,0.0844
fips16041,0.0844
fips16043,0.0844
fips16045,0.0844
fips16047,0.0844
fips16049,0.0844
fips16051,0.0844
fips16053,0.0844
fips16055,0.0844
fips16057,0.0844
fips16059,0.0844
fips16061,0.0844
fips16063,0.0844
fips16065,0.0844
fips16067,0.0844
fips16069,0.0844
fips16071,0.0844
fips16073,0.0844
fips16075,0.0844
fips16077,0.0844
fips16081,0.0844
fips16083,0.0844
fips16085,0.0844
fips16087,0.0844
fips17017,0.0823
fips17101,0.0823
fips17125,0.0823
fips17179,0.0823
fips17193,0.0823
fips17195,0.0823
fips18073,0.0823
fips18091,0.0823
fips20009,0.0823
fips20023,0.0823
fips20027,0.0823
fips20029,0.0823
fips20039,0.0823
fips20047,0.0823
fips20055,0.0823
fips20057,0.0823
fips20063,0.0823
fips20065,0.0823
fips20067,0.0823
fips20069,0.0823
fips20071,0.0823
fips20075,0.0823
fips20079,0.0823
fips20081,0.0823
fips20083,0.0823
fips20089,0.0823
fips20093,0.0823
fips20095,0.0823
fips20097,0.0823
fips20101,0.0823
fips20113,0.0823
fips20119,0.0823
fips20123,0.0823
fips20129,0.0823
fips20137,0.0823
fips20145,0.0823
fips20147,0.0823
fips20151,0.0823
fips20153,0.0823
fips20155,0.0823
fips20157,0.0823
fips20159,0.0823
fips20165,0.0823
fips20171,0.0823
fips20173,0.0823
fips20175,0.0823
fips20179,0.0823
fips20181,0.0823
fips20185,0.0823
fips20187,0.0823
fips20189,0.0823
fips20193,0.0823
fips20199,0.0823
fips20203,0.0823
fips22001,0.079
fips22003,0.079
fips22009,0.079
fips22019,0.079
fips22023,0.079
fips22025,0.079
fips22029,0.079
fips22035,0.079
fips22039,0.079
fips22041,0.079
fips22053,0.079
fips22065,0.079
fips22067,0.079
fips22069,0.079
fips22073,0.079
fips22077,0.079
fips22079,0.079
fips22083,0.079
fips22097,0.079
fips22107,0.079
fips22113,0.079
fips22123,0.079
fips24011,0.0894
fips24019,0.0894
fips24035,0.0894
fips25023,0.0878
fips26005,0.0823
fips26009,0.0823
fips26021,0.0823
fips26023,0.0823
fips26027,0.0823
fips26077,0.0823
fips26107,0.0823
fips26117,0.0823
fips26149,0.0823
fips26159,0.0823
fips27037,0.0823
fips27057,0.0823
fips27097,0.0823
fips27111,0.0823
fips27121,0.0823
fips27141,0.0823
fips27145,0.0823
fips27151,0.0823
fips27159,0.0823
fips28011,0.079
fips28015,0.079
fips28027,0.079
fips28033,0.079
fips28051,0.079
fips28053,0.079
fips28055,0.079
fips28083,0.079
fips28103,0.079
fips28107,0.079
fips28119,0.079
fips28125,0.079
fips28133,0.079
fips28135,0.079
fips28143,0.079
fips28151,0.079
fips28163,0.079
fips29005,0.0823
fips29007,0.0823
fips29011,0.0823
fips29023,0.0823
fips29031,0.0823
fips29069,0.0823
fips29087,0.0823
fips29133,0.0823
fips29143,0.0823
fips29155,0.0823
fips29181,0.0823
fips29201,0.0823
fips29207,0.0823
fips30001,0.0844
fips30003,0.0844
fips30005,0.0844
fips30007,0.0844
fips30009,0.0844
fips30011,0.0844
fips30013,0.0844
fips30015,0.0844
fips30017,0.0844
fips30021,0.0844
fips30023,0.0844
fips30027,0.0844
fips30029,0.0844
fips30031,0.0844
fips30035,0.0844
fips30037,0.0844
fips30039,0.0844
fips30041,0.0844
fips30043,0.0844
fips30045,0.0844
fips30047,0.0844
fips30049,0.0844
fips30051,0.0844
fips30053,0.0844
fips30055,0.0844
fips30057,0.0844
fips30059,0.0844
fips30063,0.0844
fips30065,0.0844
fips30067,0.0844
fips30069,0.0844
fips30071,0.0844
fips30073,0.0844
fips30075,0.0844
fips30077,0.0844
fips30079,0.0844
fips30081,0.0844
fips30083,0.0844
fips30085,0.0844
fips30087,0.0844
fips30089,0.0844
fips30091,0.0844
fips30093,0.0844
fips30095,0.0844
fips30097,0.0844
fips30099,0.0844
fips30101,0.0844
fips30103,0.0844
fips30105,0.0844
fips30107,0.0844
fips30111,0.0844
fips31001,0.0823
fips31003,0.0823
fips31005,0.0823
fips31007,0.0823
fips31009,0.0823
fips31011,0.0823
fips31013,0.0823
fips31015,0.0823
fips31017,0.0823
fips31019,0.0823
fips31021,0.0823
fips31023,0.0823
fips31027,0.0823
fips31029,0.0823
fips31031,0.0823
fips31033,0.0823
fips31035,0.0823
fips31037,0.0823
fips31039,0.0823
fips31041,0.0823
fips31043,0.0823
fips31045,0.0823
fips31047,0.0823
fips31049,0.0823
fips31051,0.0823
fips31053,0.0823
fips31055,0.0823
fips31057,0.0823
fips31059,0.0823
fips31061,0.0823
fips31063,0.0823
fips31065,0.0823
fips31067,0.0823
fips31069,0.0823
fips31071,0.0823
fips31073,0.0823
fips31077,0.0823
fips31079,0.0823
fips31081,0.0823
fips31083,0.0823
fips31085,0.0823
fips31087,0.0823
fips31089,0.0823
fips31093,0.0823
fips31095,0.0823
fips31097,0.0823
