node,capacity_factor_mean
fips31161,0.201062112
fips31163,0.193154669
fips31165,0.201110493
fips31167,0.18562116
fips31169,0.197583278
fips31175,0.193554227
fips31177,0.188055065
fips31179,0.185566979
fips31181,0.199293623
fips31183,0.191331052
fips31185,0.190968117
fips32001,0.215797345
fips32003,0.226900091
fips32005,0.220478625
fips32007,0.210655053
fips32009,0.22855057
fips32011,0.212292005
fips32013,0.208821957
fips32015,0.220057407
fips32017,0.232733311
fips32019,0.227074133
fips32021,0.220513045
fips32023,0.235557656
fips32027,0.208460917
fips32031,0.21434493
fips32033,0.222729293
fips34001,0.183182214
fips34005,0.180931571
fips34011,0.184053483
fips35001,0.230505032
fips35003,0.228124694
fips35005,0.226474193
fips35007,0.221043615
fips35009,0.22804865
fips35011,0.232524704
fips35013,0.237327893
fips35015,0.229088406
fips35017,0.234719908
fips35019,0.230760383
fips35023,0.240637122
fips35025,0.230858084
fips35027,0.229101688
fips35029,0.239214637
fips35035,0.232283025
fips35037,0.226725411
fips35039,0.227176619
fips35041,0.229995753
fips35043,0.23037528
fips35045,0.232031404
fips35047,0.232273844
fips35049,0.236872055
fips35051,0.234376769
fips35053,0.234203207
fips35055,0.228560335
fips35057,0.235327532
fips35059,0.228213979
fips35061,0.230578938
fips37163,0.190563199
fips38021,0.184852757
fips38035,0.181097732
fips38043,0.160801813
fips38049,0.182212124
fips38053,0.181904724
fips38073,0.181487863
fips38081,0.183731798
fips38105,0.18454618
fips39085,0.159074157
fips40007,0.211754178
fips40009,0.210360153
fips40015,0.204650816
fips40025,0.222507255
fips40039,0.206619646
fips40045,0.209047932
fips40051,0.199570754
fips40057,0.211532642
fips40059,0.207289117
fips40065,0.2092021
fips40073,0.196143596
fips40093,0.195642287
fips40101,0.184218453
fips40139,0.213714386
fips40141,0.208217656
fips40149,0.208895325
fips45085,0.18986174
fips46027,0.182879102
fips46065,0.190169406
fips46115,0.186834547
fips46119,0.190204653
fips46125,0.18535172
fips46135,0.185484673
fips48003,0.226732329
fips48013,0.195466567
fips48017,0.226602397
fips48039,0.186013764
fips48041,0.190864084
fips48045,0.2182724
fips48051,0.193357901
fips48061,0.189511824
fips48065,0.216830691
fips48069,0.223679813
fips48071,0.183524175
fips48075,0.21236289
fips48079,0.226687787
fips48087,0.212940157
fips48089,0.190645241
fips48093,0.205040977
fips48107,0.222591504
fips48111,0.224984163
fips48115,0.223933738
fips48117,0.223535595
fips48129,0.214552709
fips48147,0.189795746
fips48153,0.220684945
fips48157,0.189344908
fips48163,0.197240907
fips48165,0.229971191
fips48173,0.223300041
fips48179,0.213161922
fips48189,0.220467735
fips48191,0.21329109
fips48195,0.216630729
fips48197,0.212749351
fips48205,0.225700178
fips48207,0.215371098
fips48215,0.195209387
fips48219,0.22634462
fips48233,0.216278645
fips48239,0.189404767
fips48245,0.180587547
fips48275,0.213377231
fips48279,0.222911361
fips48291,0.180696953
fips48295,0.211476965
fips48303,0.223059188
fips48305,0.225625356
fips48317,0.224717388
fips48321,0.1895213
fips48325,0.195706477
fips48335,0.220592088
fips48341,0.221888019
fips48353,0.217883801
fips48357,0.213378529
fips48369,0.225112156
fips48371,0.225217604
fips48383,0.21905017
fips48395,0.192738953
fips48421,0.220741648
fips48437,0.222080396
fips48445,0.230024728
fips48451,0.215634598
fips48463,0.196442948
fips48481,0.190766204
fips48483,0.211619756
fips48487,0.211803604
fips48489,0.191888064
fips48493,0.19482358
fips48501,0.230193885
fips48507,0.197158194
fips49001,0.226318671
fips49003,0.203540785
fips49005,0.200001089
