node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,filled_by_mean,neighbors_used
fips01091,0.0,0.0,1995.9134402017512,18322.72733273066,25398.850419094786,28614.76159585174,10824.367750270176,0.0,0.0,0.0,0.0,0.0,85156.62053814912,False,
fips01093,0.0,0.0,0.0,1793.6922087992134,11508.247292225598,33568.09406092996,28309.44570568018,17567.7869532248,2013.0420543938778,0.0,0.0,0.0,94760.30827525363,False,
fips01095,3900.730172694967,3520.1883369890916,19818.308516787718,64617.396271312835,103820.3546093901,169980.01818933702,131783.74972790864,136888.46996062816,101587.91559418301,47693.85257020815,15460.183823072197,5709.624324565875,804780.7920970778,False,
fips01097,24846.9963998885,43555.111746781826,221707.8304889062,348308.6402586813,298015.5752274012,247862.39929706705,264742.63115657156,293874.6757938349,155581.91616128385,297117.290314732,119217.00898607972,33669.75288241181,2348499.8287136396,False,
fips01099,0.0,14.420365316722382,3217.218388631038,17969.566060396843,26864.096944503486,25739.611542841423,7257.063001841132,0.0,0.0,0.0,0.0,0.0,81061.97630353064,False,
fips01101,6626.71214467717,6400.890188573281,26191.974696882648,141955.57333534566,258462.2967107046,261251.51714012836,159668.97088318522,210149.48772262124,115665.50243342025,58282.494039564735,20942.469868227323,9073.072297434972,1274670.9614607655,False,
fips01103,422658.2314400625,199703.42134806514,836009.0816031334,95012.21485332749,390077.94948590617,760009.0165035665,772003.2453533992,53427.32197680198,41382.455725600084,94653.01650977763,195628.89419268712,240943.7844388633,4101508.63343119,True,"fips01043, fips01079, fips01083, fips01089, fips01095"
fips01105,0.0,0.0,400.9910843050202,3767.691690170526,6557.897397557041,7854.639485444873,3389.832551344531,38.10560021186302,0.0,0.0,0.0,0.0,22009.157809033855,False,
fips01107,10943.585545152882,8819.329279149379,62602.17392289136,217531.02934585803,367817.96994509525,594993.1728561394,466318.4571247286,600983.3621426563,308010.5179087142,128901.5017653532,35322.82301700382,15245.207937008328,2817489.130789751,False,
fips01109,16671.143462378463,16109.735039848923,78521.48005386985,614286.3916473548,1001429.8484106358,890654.0383388884,686145.9678317442,977461.1394700728,523907.81324159005,202513.77239832646,62370.446140338754,24202.105624074753,5094273.881659123,False,
fips01111,71274.29807134981,39154.148641727144,41832.433922679185,27090.13331368076,32944.55960539273,87790.94277057755,93520.32327737455,19173.48292535761,5787.657985035821,14250.850559863538,23045.382190038516,31642.842681850765,487507.0559449281,True,"fips01017, fips01027, fips01029, fips01123, fips13045, fips13149, fips13285"
fips01113,6704.718437669449,8332.72513417861,47385.785281315024,303218.37344876304,550192.830922574,524310.5871521281,282797.52464791655,175248.0510385489,82193.69538642027,62294.02851578472,23877.610442949448,9003.369720077673,2075559.3001283258,False,
fips01115,5026.219743542904,3837.560229353749,21651.28259710073,83940.80129505065,146734.3400360225,271485.5773815454,226741.64767604304,189660.83759551815,115076.18718663139,62150.2659390479,22623.491017590797,10952.122734576871,1159880.333432024,False,
fips01117,7519.129032742018,4625.728951044709,25413.090946329285,86208.75722307843,126591.72711583259,234941.12978781643,177473.20693373276,207495.88069872127,145074.3030505872,62574.06514789312,30309.99956731356,12989.658134244357,1121216.6765893358,False,
fips01119,0.0,0.0,5294.606409497046,43026.85566539923,68328.73458269611,86074.541723344,34827.243561955635,483.19292692871926,0.0,0.0,0.0,0.0,238035.17486982074,False,
fips01121,7740.954403568944,5060.841596920221,27628.769007172195,126896.1267113759,193119.11200387447,259578.21825218634,185392.88779350702,165630.75815307087,123437.38034137475,70010.09705260975,30488.440848099908,15139.737103021274,1210123.3232667819,False,
fips01123,3707.8294427540045,3470.0329458829538,13549.099519011068,111952.06296931338,174021.97908480457,184436.87611967916,115416.8942973347,52055.51053135057,40710.02975347898,29794.890734339948,12148.484593148538,4994.824390303532,746258.5143814015,False,
fips01125,4139.833424923495,3577.616327442781,28397.5711027737,115763.82612059748,180942.57215357927,226382.50760662026,147046.23114770942,135469.82016893118,112467.78912926414,49649.280428740756,13662.620408117351,5821.14423938075,1023320.8122580805,False,
