node,jan_hourly,feb_hourly,mar_hourly,apr_hourly,may_hourly,jun_hourly,jul_hourly,aug_hourly,sep_hourly,oct_hourly,nov_hourly,dec_hourly,unit
fips47151,3.335236285772826,1.0969057891131528,3.4450304864642365,6.18950857004926,1.8649708629126303,18.15659164486988,15.32787281828238,1.9748664272919327,2.5334234393684247,1.0072577792849235,0.7753579982702428,6.575208095332915,m3/h
fips47153,1.6787412536063449,0.9202129191498243,4.918890443604996,1.1087818825595508,2.6986423697329607,6.1636415855693185,4.6609725700483935,0.6333260430527583,0.7317252667538325,0.8307358390093065,1.500541704670378,2.405800751581126,m3/h
fips47155,1.901417856232636,1.749342559021421,1.3887133959951368,3.069134224008119,0.7477453069474957,5.958163957208362,5.609924950639622,1.1823757417754124,2.0420221932411966,0.8310934298774129,0.7462005306352453,3.1806597542455948,m3/h
fips47157,7.31168582006822,9.656415206247667,49.94509860687946,162.04817085803785,423.96927662880046,1269.958309834041,1110.2266851031984,856.7714853100874,204.5949421667456,76.95148161427997,21.443002742931572,7.678681587175677,m3/h
fips47159,19.168343799546392,8.854477242505974,18.35349758989903,14.844787406676817,10.600426422252564,51.305856731382676,48.650959914734415,6.331847690616149,14.324994616190278,7.430109206643977,7.399414427819801,27.38947488576378,m3/h
fips47161,18.83799192262908,4.902526159780071,14.146210213459861,11.413767669705663,9.274347891560204,31.437364998965165,31.411577103691315,5.221497501853473,4.096648314662215,5.683529614245436,4.999443049194259,18.989470534982257,m3/h
fips47163,5.653531398751121,5.349403158048316,5.17139283262183,8.962001860092117,3.9666637781825487,17.919511652664347,15.738528044850131,3.2683854878965493,6.840867432875911,3.238081112765511,3.677135705797521,8.983938763298402,m3/h
fips47165,20.641164902395808,8.045421848719297,18.518274091368074,11.43955479838843,11.774520249893866,39.39157584117639,36.09013949033158,6.712021152403012,3.9693838107249753,6.627906288580074,7.252821192488332,16.16948125131841,m3/h
fips47167,759.0755838618609,456.42886655725323,797.7459553591167,8.661250001334825,217.92876643100934,1291.7162927937889,1498.2074859941204,10.531352741097017,7.677085008043302,19.706129441758858,77.31715082180557,128.23920753415553,m3/h
fips47169,6.459712906155509,4.944471140944943,7.019660061733481,6.238085948124622,4.569470095904966,18.310718138564237,17.031735476566592,2.6841455980973925,5.203645995969835,2.711938978371416,3.1129299216380546,6.821227040013846,m3/h
fips47171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m3/h
fips47173,0.11490636327867851,0.13131427408593366,0.2558248000281769,2.0448467912983643,4.672965555642485,9.094002288650623,6.817412632709374,4.841237983796686,1.7691679129147726,0.9490194649916264,0.29778047415949704,0.09221529176735709,m3/h
fips47175,4.399510011641607,2.440920885792027,12.003809096135253,1.3648809947780896,5.750574456684118,13.687144241143237,10.96762850689825,0.6566218674506017,1.8924577920834051,1.7209082016544373,2.896773679926351,4.379014022354784,m3/h
fips47177,18.54417745741223,13.82250618448893,30.146502114242615,221.4164793189031,312.33659595557305,935.2029829938382,1352.4659111732278,1489.4243271106704,678.3159078783979,268.57021884025227,82.05257057728011,27.085536258096116,m3/h
fips47179,90.53914063848761,47.93328667710483,63.35410583360172,68.88070869743203,47.17911253649721,204.5654699525044,200.552915479758,41.711027975696865,28.886069583661875,24.549746046280653,22.405809098570547,86.38471018485191,m3/h
fips47181,0.0,0.0,0.0,3.6366096623504425,25.447707541979632,71.34582902282911,71.62279458685114,47.5963050284926,5.807743868919581,0.0,0.0,0.0,m3/h
fips47183,0.6400298602943711,0.46747888488390954,1.2886779969036453,154.40854704022865,330.9176542529382,867.3696530671618,883.5232129678162,661.7683696779883,86.78686029556665,5.321967291497849,1.1783574067810914,0.3862212552859894,m3/h
fips47185,6.734472387464165,3.270656711743599,11.981937021233879,4.201689861061388,6.063753547172047,20.718928446967848,18.24480125623788,1.6790362261222926,4.697355610789586,2.7107813898167303,3.4565283952347836,9.54947134230209,m3/h
fips47187,0.0,0.0,0.0,0.0,0.0,1.691305733240039,35.59359823751564,213.77926489948416,151.18781137901027,81.28942823207092,9.810174918696402,0.0,m3/h
