node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips01049,228165.83273767462,149306.19337728023,327256.94063577824,7569.553123634397,148704.73128575052,359258.3688853472,421536.08623824804,6631.370220795505,9341.517199662872,30870.94386624062,77487.28073617833,31015.13867295963,1797143.9569795502,1797143.9569795502,0.0
fips01051,11617.355544087803,11060.337925988708,38644.12386716452,293155.28159127623,422724.20020146976,466786.622678639,295790.81735132745,150114.59750857123,82860.52171249971,67880.8767454915,32207.6675321524,13804.2695549689,1886646.6722136373,1886646.6722136375,1.23409776235783e-16
fips01053,5297.38631525137,6999.322503785742,44581.058232341864,213427.8861240055,267611.1269410574,228477.91587262906,196861.76403446894,163975.45423656306,96459.58033759292,68922.15889289472,22664.535564471076,8474.795065975126,1323752.9841210367,1323752.9841210365,-1.758867752872094e-16
fips01055,3218.094681268488,1719.465562878998,2914.7355675011504,1068.6202577457507,1587.7894253643437,5272.728013858049,6036.101548714294,688.7990994453652,266.25502161236074,642.419434779186,958.3442750158208,1762.693416001315,26136.046304185125,26136.04630418512,-1.39193922628962e-16
fips01057,0.0,0.0,0.0,4190.410726755906,22194.8895829944,63521.335867287504,53863.20173030049,34725.1844629775,4457.301758980442,0.0,0.0,0.0,182952.32412929623,182952.32412929623,0.0
fips01059,59791.35759355596,32329.456974155873,112050.39224808312,1931.4155953172185,51682.80104331221,95623.85313218673,106335.77575630172,1791.8854692535515,2634.1865870231986,7406.670403668552,26557.356377188862,7161.744034199273,505296.89521424624,505296.89521424624,0.0
fips01061,1110597.5453491632,629976.5622660749,513278.14114478335,124193.68617936227,296541.1568074819,651634.8971199299,828909.0184318781,97705.9672498951,57689.867515474354,164618.75473526644,356733.7651401064,260760.8040781489,5092640.166017565,5092640.166017565,0.0
fips01063,57836.92364403971,36371.97294235777,60488.30053308002,1318.7407867034576,35516.05416628644,54700.36364448882,79667.79327776306,1121.7133158986437,1917.906613727415,4641.942104379611,16093.759186682217,8062.648016778002,357738.11823218514,357738.11823218514,0.0
fips01065,3703.08188289768,3518.456673164717,17470.132726210984,120329.77973817247,178617.66716328624,202554.85356207556,125188.37603446802,131462.2551264928,87592.617411687,49896.97739276162,16532.673088939533,6126.5212450932795,942993.3920452499,942993.39204525,1.234529560959517e-16
fips01067,1044840.7284693669,598504.763293093,891996.4959416841,29619.745526819384,467628.5740560887,752606.1331731791,891881.8227994534,28854.15486710957,42289.99599131699,110304.66142199739,245384.58610975416,106677.70334213736,5210589.364991999,5210589.364991999,0.0
fips01069,38754.22379102052,37404.78588336778,135674.9161500788,729652.3569845151,1285538.9103010073,1103863.4996165205,950317.3775193057,1004125.5572091873,518432.13739283127,288799.4326515918,147496.34344953552,53332.4526493891,6293391.993598349,6293391.99359835,1.4798419923037078e-16
fips01071,2421.7871236015203,1742.4873374279919,5029.199764928579,25070.38975866412,41461.354700395,88554.60342778929,90716.69437675789,105041.74048194932,46781.81823810617,24711.257718383724,10621.457345255942,3164.751175829685,445317.54144908924,445317.54144908924,0.0
fips01073,0.0,0.0,0.0,4177.726048753878,20199.514063402974,60136.23093552226,53683.87080452247,35161.796576927016,5373.5493348834025,0.0,0.0,0.0,178732.68776401202,178732.687764012,-1.628344027095965e-16
fips01075,9126.4511329675,5349.8316887082565,13717.967115526295,249.70015952590907,6444.783612197279,13065.179649990725,16245.139278458511,209.12190217557176,327.95907104685307,775.3802541046595,2756.8679454706453,1427.7416676548194,69696.12347782703,69696.12347782703,0.0
fips01077,106318.93668795904,56759.43835527133,203023.2919012381,3270.758261022986,93475.95723141126,172656.8322581782,187013.33304260494,3054.6428722266455,4476.796570501569,12739.510416840976,47738.2119591294,12120.487402565388,902648.19695895,902648.1969589499,-1.2897086840603201e-16
fips01079,8338.464750007273,7134.337704457735,25720.78035099514,120808.8925079427,222953.94718845302,388593.19904582173,349414.24407333235,501139.4953286455,244077.08804372192,118042.6092433545,31625.215126615465,11592.05405874499,2029440.3274220922,2029440.3274220922,0.0
