node,ground (m3),surface (m3),total (m3),gw_percentages,sw_percentages
fips04013,1250305612.20452,283605142.45185804,1533910754.656378,0.8151097502961374,0.18489024970386259
fips04015,66955985.023462005,70520860.9389813,137476845.9624433,0.4870346315753667,0.5129653684246334
fips04017,5056931.596902,5029736.91098319,10086668.50788519,0.5013480509395918,0.4986519490604083
fips04019,70727958.591643,37206113.91658,107934072.508223,0.6552885196308568,0.3447114803691433
fips04021,487869548.32407,664238904.805431,1152108453.1295009,0.4234580060573792,0.5765419939426208
fips04023,6922193.251497,0.0,6922193.251497,1.0,0.0
fips04025,12117292.378369,21663878.3810246,33781170.7593936,0.3586995982073688,0.6413004017926311
fips04027,148267576.410807,1124268167.8208299,1272535744.231637,0.11651348662141642,0.8834865133785835
fips05001,1227136294.52615,886495308.030364,2113631602.556514,0.5805819202560579,0.4194180797439421
fips05003,193976098.899636,19801185.778863702,213777284.6784997,0.9073746969485427,0.09262530305145733
fips05005,0.0,0.0,0.0,,
fips05007,0.0,0.0,0.0,,
fips05009,0.0,0.0,0.0,,
fips05011,0.0,0.0,0.0,,
fips05013,0.0,0.0,0.0,,
fips05015,0.0,0.0,0.0,,
fips05017,260494632.04271302,92008517.3784793,352503149.4211923,0.7389852614662972,0.2610147385337029
fips05019,0.0,6149934.507374081,6149934.507374081,0.0,1.0
fips05021,1110701644.45001,15941729.6727462,1126643374.1227562,0.9858502432633939,0.014149756736606192
fips05023,0.0,0.0,0.0,,
fips05025,0.0,0.0,0.0,,
fips05027,0.0,0.0,0.0,,
fips05029,3715130.84043782,1511715.7448293802,5226846.5852672,0.7107786271955215,0.28922137280447846
fips05031,565393923.1782789,92374993.92268041,657768917.1009593,0.8595631512510312,0.14043684874896878
fips05033,1197551.33318142,1843835.1130116,3041386.44619302,0.3937517820796582,0.6062482179203419
fips05035,346908847.562055,1385739.43276027,348294586.9948153,0.9960213581132086,0.003978641886791362
fips05037,745013014.617615,52658098.4448902,797671113.0625052,0.9339852006891417,0.06601479931085824
fips05039,0.0,0.0,0.0,,
fips05041,638567031.343239,182379342.70006,820946374.043299,0.7778425626002694,0.2221574373997306
fips05043,56257695.5837727,10101009.749541799,66358705.33331449,0.8477816934672666,0.15221830653273344
fips05045,1211159.8710584799,5268100.32289028,6479260.19394876,0.1869287287134464,0.8130712712865535
fips05047,0.0,11452.392006283198,11452.392006283198,0.0,1.0
fips05049,326604.909049479,0.0,326604.909049479,1.0,0.0
fips05051,0.0,0.0,0.0,,
fips05053,0.0,0.0,0.0,,
fips05055,471236449.60688996,11532558.7503272,482769008.3572172,0.9761116423161242,0.02388835768387574
fips05057,0.0,0.0,0.0,,
fips05059,0.0,2427907.1053320398,2427907.1053320398,0.0,1.0
fips05061,0.0,0.0,0.0,,
fips05063,91013901.3217881,32536245.6898506,123550147.0116387,0.7366555485621105,0.26334445143788954
fips05065,0.0,0.0,0.0,,
fips05067,763466191.9789109,39132823.48546971,802599015.4643806,0.9512423729266256,0.04875762707337438
fips05069,396130929.063387,78849718.9632599,474980648.02664685,0.8339938283994334,0.1660061716005667
fips05071,13608.5378770616,0.0,13608.5378770616,1.0,0.0
fips05073,18507611.5128038,0.0,18507611.5128038,1.0,0.0
fips05075,313826491.982918,28653884.7997206,342480376.7826386,0.9163342289304175,0.0836657710695825
fips05077,444345978.76181597,8909960.98088834,453255939.74270433,0.980342318324728,0.01965768167527198
fips05079,318521437.55050397,35513867.6114842,354035305.16198814,0.8996883443722233,0.10031165562777673
fips05081,13554103.7255534,26832954.4707216,40387058.196274996,0.3356051252775705,0.6643948747224295
fips05083,0.0,0.0,0.0,,
fips05085,795432647.452128,363384398.359366,1158817045.811494,0.6864178002275623,0.3135821997724377
fips05087,0.0,0.0,0.0,,
fips05089,0.0,0.0,0.0,,
