node,sprinkler_percentage,drip_percentage,surface_percentage
fips26159,0.939,0.058,0.003
fips27037,1.0,0.0,0.0
fips27057,1.0,0.0,0.0
fips27097,1.0,0.0,0.0
fips27111,1.0,0.0,0.0
fips27121,1.0,0.0,0.0
fips27141,1.0,0.0,0.0
fips27145,1.0,0.0,0.0
fips27151,1.0,0.0,0.0
fips27159,1.0,0.0,0.0
fips28011,0.094,0.0,0.906
fips28015,0.56,0.0,0.44
fips28027,0.271,0.0,0.729
fips28033,0.314,0.0,0.686
fips28051,0.472,0.0,0.528
fips28053,0.311,0.0,0.689
fips28055,0.277,0.0,0.723
fips28083,0.238,0.0,0.762
fips28103,0.997,0.0,0.003
fips28107,0.374,0.0,0.626
fips28119,0.125,0.0,0.875
fips28125,0.192,0.0,0.808
fips28133,0.139,0.0,0.861
fips28135,0.308,0.0,0.692
fips28143,0.236,0.0,0.764
fips28151,0.119,0.0,0.881
fips28163,0.508,0.0,0.492
fips29005,0.416,0.045,0.539
fips29007,0.416,0.046,0.538
fips29011,0.416,0.046,0.538
fips29023,0.416,0.045,0.538
fips29031,0.416,0.046,0.538
fips29069,0.416,0.045,0.538
fips29087,0.417,0.045,0.538
fips29133,0.416,0.045,0.538
fips29143,0.416,0.045,0.538
fips29155,0.416,0.045,0.538
fips29181,0.416,0.046,0.538
fips29201,0.416,0.045,0.538
fips29207,0.416,0.045,0.538
fips30001,0.448,0.0,0.552
fips30003,0.262,0.0,0.738
fips30005,0.53,0.0,0.47
fips30007,0.903,0.0,0.097
fips30009,0.154,0.0,0.846
fips30011,0.519,0.0,0.481
fips30013,0.495,0.0,0.505
fips30015,0.849,0.0,0.151
fips30017,0.155,0.0,0.845
fips30021,0.201,0.0,0.799
fips30023,0.747,0.0,0.253
fips30027,0.367,0.0,0.633
fips30029,0.911,0.0,0.089
fips30031,0.886,0.0,0.114
fips30035,0.683,0.0,0.317
fips30037,0.445,0.0,0.555
fips30039,0.472,0.0,0.528
fips30041,0.885,0.0,0.115
fips30043,0.668,0.0,0.332
fips30045,0.805,0.0,0.195
fips30047,0.991,0.0,0.009
fips30049,0.67,0.0,0.33
fips30051,0.845,0.0,0.155
fips30053,0.61,0.0,0.39
fips30055,0.276,0.0,0.724
fips30057,0.666,0.0,0.334
fips30059,0.476,0.0,0.524
fips30063,0.801,0.0,0.199
fips30065,0.307,0.0,0.693
fips30067,0.681,0.0,0.319
fips30069,0.226,0.0,0.774
fips30071,0.177,0.0,0.823
fips30073,0.772,0.0,0.228
fips30075,0.051,0.0,0.949
fips30077,0.462,0.0,0.538
fips30079,0.39,0.0,0.61
fips30081,0.423,0.008,0.57
fips30083,0.241,0.0,0.759
fips30085,0.557,0.0,0.443
fips30087,0.205,0.0,0.795
fips30089,0.966,0.0,0.034
fips30091,0.933,0.0,0.067
fips30093,0.894,0.0,0.106
fips30095,0.061,0.0,0.939
fips30097,0.447,0.0,0.553
fips30099,0.588,0.0,0.412
fips30101,0.916,0.0,0.084
fips30103,0.275,0.0,0.725
fips30105,0.282,0.0,0.718
fips30107,0.167,0.0,0.833
fips30111,0.123,0.0,0.877
fips31001,0.713,0.001,0.287
fips31003,0.963,0.001,0.037
fips31005,0.894,0.014,0.092
fips31007,0.681,0.006,0.313
fips31009,0.867,0.012,0.121
fips31011,0.915,0.001,0.084
fips31013,0.963,0.001,0.036
fips31015,0.554,0.011,0.435
fips31017,0.658,0.003,0.339
fips31019,0.671,0.001,0.329
fips31021,0.78,0.003,0.217
fips31023,0.773,0.001,0.226
fips31027,0.958,0.001,0.041
fips31029,0.969,0.001,0.03
fips31031,0.923,0.003,0.074
fips31033,0.977,0.0,0.023
fips31035,0.684,0.001,0.316
fips31037,0.901,0.0,0.099
fips31039,0.96,0.004,0.036
fips31041,0.786,0.004,0.21
fips31043,0.839,0.007,0.154
fips31045,0.577,0.005,0.418
fips31047,0.541,0.001,0.458
fips31049,0.779,0.007,0.215
fips31051,0.879,0.005,0.116
fips31053,0.849,0.0,0.151
fips31055,0.682,0.012,0.307
fips31057,0.991,0.001,0.008
fips31059,0.916,0.001,0.083
fips31061,0.666,0.001,0.333
fips31063,0.52,0.002,0.477
fips31065,0.682,0.002,0.316
fips31067,0.625,0.002,0.372
fips31069,0.857,0.004,0.139
fips31071,0.649,0.007,0.343
fips31073,0.597,0.004,0.399
fips31077,0.84,0.001,0.159
fips31079,0.48,0.001,0.519
fips31081,0.658,0.001,0.341
fips31083,0.723,0.002,0.275
fips31085,0.882,0.003,0.115
fips31087,0.727,0.005,0.268
fips31089,0.958,0.001,0.041
fips31093,0.543,0.0,0.457
fips31095,0.85,0.002,0.148
fips31097,0.797,0.007,0.196
fips31099,0.714,0.001,0.285
fips31101,0.792,0.001,0.207
fips31103,0.846,0.005,0.149
fips31105,0.992,0.0,0.008
fips31107,0.883,0.002,0.115
fips31111,0.79,0.001,0.209
fips31113,0.972,0.005,0.023
fips31115,0.65,0.009,0.34
fips31117,0.979,0.001,0.019
fips31119,0.911,0.02,0.07
fips31121,0.565,0.001,0.434
fips31123,0.673,0.001,0.325
fips31125,0.686,0.0,0.313
fips31127,0.649,0.008,0.343
fips31129,0.682,0.002,0.316
fips31135,0.974,0.001,0.025
fips31137,0.673,0.002,0.325
fips31139,0.978,0.001,0.022
fips31141,0.875,0.0,0.125
fips31143,0.656,0.001,0.343
fips31145,0.762,0.003,0.235
fips31149,0.916,0.003,0.081
fips31151,0.721,0.001,0.277
fips31155,0.902,0.007,0.09
fips31157,0.194,0.001,0.805
fips31159,0.786,0.001,0.213
fips31161,0.908,0.002,0.09
fips31163,0.805,0.001,0.193
fips31165,0.587,0.004,0.409
fips31167,0.967,0.0,0.033
fips31169,0.881,0.001,0.118
fips31175,0.672,0.001,0.327
fips31177,0.504,0.008,0.488
fips31179,0.979,0.0,0.021
fips31181,0.819,0.002,0.179
fips31183,0.863,0.002,0.135
fips31185,0.728,0.001,0.272
fips32001,0.008,0.0,0.992
fips32003,0.841,0.0,0.159
fips32005,0.149,0.0,0.851
fips32007,0.041,0.0,0.959
fips32009,1.0,0.0,0.0
fips32011,0.969,0.0,0.031
fips32013,0.827,0.0,0.173
fips32015,0.878,0.0,0.122
fips32017,0.951,0.0,0.049
fips32019,0.566,0.0,0.434
fips32021,1.0,0.0,0.0
fips32023,0.87,0.009,0.121
fips32027,0.184,0.0,0.816
fips32031,0.225,0.0,0.775
fips32033,0.929,0.0,0.071
fips34001,0.704,0.27,0.026
fips34005,0.704,0.27,0.026
fips34011,0.704,0.27,0.026
fips35001,0.0,0.0,1.0
fips35003,0.0,0.0,1.0
fips35005,0.429,0.005,0.566
fips35007,0.198,0.0,0.802
fips35009,1.0,0.0,0.0
fips35011,0.303,0.0,0.697
fips35013,0.003,0.003,0.995
fips35015,0.013,0.0,0.987
fips35017,0.03,0.0,0.97
fips35019,0.005,0.0,0.995
fips35023,0.465,0.125,0.41
fips35025,0.996,0.004,0.0
fips35027,0.085,0.0,0.915
fips35029,0.026,0.499,0.475
fips35035,0.371,0.038,0.591
fips35037,0.255,0.003,0.743
fips35039,0.0,0.001,0.999
fips35041,1.0,0.0,0.0
fips35043,0.028,0.0,0.972
fips35045,0.822,0.0,0.178
fips35047,0.049,0.0,0.951
fips35049,0.287,0.006,0.707
fips35051,0.0,0.022,0.978
fips35053,0.009,0.001,0.99
fips35055,0.035,0.0,0.965
fips35057,0.689,0.002,0.308
fips35059,0.98,0.0,0.019
fips35061,0.021,0.014,0.965
fips37163,0.95,0.05,0.0
fips38021,1.0,0.0,0.0
fips38035,1.0,0.0,0.0
fips38043,1.0,0.0,0.0
fips38049,0.587,0.0,0.413
fips38053,0.145,0.0,0.855
fips38073,0.995,0.0,0.005
fips38081,1.0,0.0,0.0
fips38105,0.421,0.0,0.579
fips39085,0.802,0.198,0.0
fips40007,1.0,0.0,0.0
fips40009,1.0,0.0,0.0
fips40015,1.0,0.0,0.0
fips40025,1.0,0.0,0.0
fips40039,1.0,0.0,0.0
fips40045,1.0,0.0,0.0
fips40051,0.95,0.0,0.05
fips40057,0.02,0.25,0.73
fips40059,0.95,0.0,0.05
fips40065,0.258,0.223,0.519
fips40073,1.0,0.0,0.0
fips40093,1.0,0.0,0.0
fips40101,0.95,0.0,0.05
fips40139,1.0,0.0,0.0
fips40141,0.72,0.25,0.03
fips40149,1.0,0.0,0.0
fips41001,0.11,0.05,0.84
fips41003,0.99,0.01,0.0
fips41005,0.97,0.03,0.0
fips41011,0.95,0.0,0.05
fips41013,0.73,0.0,0.27
fips41017,0.65,0.02,0.33
fips41019,0.919,0.02,0.06
fips41021,0.819,0.0,0.181
fips41023,0.5,0.0,0.5
fips41025,0.29,0.01,0.7
fips41027,0.95,0.05,0.0
fips41029,0.58,0.02,0.4
fips41031,0.8,0.05,0.15
fips41033,0.6,0.01,0.39
fips41035,0.8,0.02,0.18
fips41037,0.64,0.0,0.36
fips41039,0.98,0.02,0.0
fips41043,0.97,0.03,0.0
fips41045,0.15,0.12,0.73
fips41047,0.95,0.05,0.0
fips41049,0.734,0.196,0.07
fips41051,0.99,0.01,0.0
fips41053,0.99,0.01,0.0
fips41059,0.81,0.15,0.04
fips41061,0.71,0.0,0.29
fips41063,0.64,0.0,0.36
fips41065,0.94,0.02,0.04
fips41067,0.97,0.03,0.0
fips41069,0.401,0.0,0.599
fips41071,0.96,0.04,0.0
fips45017,0.885,0.074,0.041
fips45075,0.886,0.074,0.04
fips45085,0.886,0.074,0.04
fips46007,1.0,0.0,0.0
fips46027,0.994,0.0,0.006
fips46065,0.133,0.0,0.867
fips46115,0.843,0.0,0.157
fips46119,0.088,0.0,0.912
fips46121,0.956,0.0,0.044
fips46125,1.0,0.0,0.0
fips46135,0.955,0.0,0.045
fips48003,0.99,0.01,0.0
fips48013,1.0,0.0,0.0
fips48017,0.94,0.06,0.0
fips48039,0.062,0.017,0.92
fips48041,0.0,0.003,0.997
fips48045,0.432,0.001,0.567
fips48051,0.364,0.0,0.636
fips48061,0.004,0.009,0.987
fips48065,0.275,0.0,0.725
fips48069,0.94,0.06,0.0
fips48071,0.0,0.0,1.0
fips48075,0.769,0.0,0.231
fips48079,0.95,0.05,0.0
fips48087,0.965,0.002,0.033
fips48089,0.0,0.0,1.0
fips48093,0.759,0.241,0.0
fips48107,0.6,0.4,0.0
fips48109,0.771,0.229,0.0
fips48111,0.996,0.0,0.004
fips48115,0.971,0.029,0.0
fips48117,0.76,0.24,0.0
fips48129,0.916,0.0,0.084
fips48141,0.002,0.0,0.998
fips48147,0.969,0.004,0.027
fips48153,0.58,0.42,0.0
fips48157,0.077,0.001,0.922
fips48163,0.905,0.012,0.083
fips48165,1.0,0.0,0.0
fips48173,0.188,0.812,0.0
fips48179,0.833,0.0,0.167
fips48189,0.83,0.17,0.0
fips48191,0.99,0.0,0.01
fips48195,0.617,0.0,0.383
fips48197,0.663,0.0,0.337
fips48205,0.99,0.0,0.01
fips48207,0.93,0.001,0.069
fips48215,0.054,0.054,0.892
fips48219,0.67,0.33,0.0
fips48229,0.753,0.0,0.247
fips48233,0.586,0.001,0.413
fips48239,0.034,0.0,0.966
fips48245,0.073,0.0,0.927
fips48275,0.789,0.0,0.211
fips48279,0.93,0.07,0.0
fips48291,0.097,0.002,0.901
fips48295,0.99,0.0,0.01
fips48303,0.67,0.33,0.0
fips48305,0.72,0.28,0.0
fips48317,0.951,0.049,0.0
fips48321,0.267,0.0,0.733
fips48323,0.003,0.017,0.98
fips48325,0.38,0.0,0.62
fips48335,0.946,0.054,0.0
fips48341,0.895,0.0,0.105
fips48353,0.89,0.018,0.092
fips48357,0.474,0.0,0.526
fips48369,0.94,0.06,0.0
fips48371,0.153,0.076,0.771
fips48383,0.098,0.0,0.902
fips48389,0.446,0.013,0.54
fips48395,0.129,0.014,0.857
fips48421,0.952,0.0,0.048
fips48437,0.73,0.27,0.0
fips48445,1.0,0.0,0.0
fips48451,0.415,0.027,0.558
fips48463,0.568,0.004,0.428
fips48481,0.147,0.001,0.852
fips48483,1.0,0.0,0.0
fips48487,1.0,0.0,0.0
fips48489,0.018,0.0,0.982
fips48493,0.96,0.005,0.034
fips48501,0.99,0.01,0.0
fips48507,0.315,0.0,0.685
fips49001,0.748,0.0,0.252
fips49003,0.302,0.002,0.696
fips49005,0.633,0.0,0.367
fips49007,0.543,0.0,0.457
fips49009,0.498,0.0,0.502
fips49011,0.163,0.0,0.837
fips49013,0.572,0.0,0.428
fips49015,0.446,0.0,0.554
fips49017,0.539,0.0,0.461
fips49019,0.658,0.0,0.342
fips49021,0.931,0.0,0.069
fips49023,0.796,0.0,0.204
fips49025,0.429,0.0,0.571
fips49027,0.407,0.0,0.593
fips49029,0.285,0.0,0.715
fips49031,0.317,0.0,0.683
fips49033,0.148,0.0,0.852
fips49035,0.303,0.002,0.695
fips49037,0.561,0.0,0.439
fips49039,0.512,0.0,0.488
fips49041,0.255,0.0,0.745
fips49043,0.186,0.0,0.814
fips49045,0.514,0.0,0.486
fips49047,0.562,0.0,0.438
fips49049,0.38,0.007,0.613
fips49051,0.524,0.001,0.476
fips49053,0.507,0.0,0.493
fips49055,0.678,0.0,0.322
fips49057,0.162,0.001,0.837
fips51001,0.503,0.497,0.0
fips53001,0.792,0.033,0.175
fips53005,0.881,0.035,0.084
fips53007,0.994,0.006,0.0
fips53017,0.944,0.056,0.0
fips53021,0.859,0.059,0.082
fips53025,0.745,0.048,0.207
fips53037,0.474,0.049,0.477
fips53039,0.877,0.058,0.065
fips53043,0.937,0.063,0.0
fips53047,0.928,0.063,0.009
fips53057,0.953,0.047,0.0
fips53071,0.93,0.07,0.0
fips53073,0.948,0.052,0.0
fips53077,0.712,0.05,0.238
fips55001,0.984,0.0,0.016
fips55033,1.0,0.0,0.0
fips55053,0.554,0.01,0.437
fips55057,0.807,0.001,0.192
fips55067,0.995,0.005,0.0
fips55081,0.153,0.016,0.831
fips55085,0.688,0.0,0.312
fips55097,0.98,0.013,0.007
fips55137,0.998,0.002,0.0
fips55141,0.123,0.011,0.866
fips56001,0.017,0.0,0.983
fips56003,0.038,0.0,0.962
fips56007,0.007,0.0,0.993
fips56009,0.111,0.0,0.888
fips56011,0.523,0.0,0.477
fips56013,0.072,0.0,0.928
fips56015,0.241,0.0,0.759
fips56017,0.033,0.0,0.967
fips56019,0.165,0.0,0.835
fips56021,0.79,0.002,0.208
fips56023,0.478,0.0,0.522
fips56025,0.081,0.0,0.919
fips56027,0.906,0.0,0.094
fips56029,0.041,0.049,0.91
fips56031,0.208,0.0,0.792
fips56033,0.4,0.0,0.6
fips56035,0.105,0.0,0.895
fips56037,0.438,0.0,0.562
fips56039,0.204,0.0,0.796
fips56041,0.105,0.0,0.895
fips56043,0.08,0.0,0.92
fips56045,0.076,0.0,0.924
