node,sprinkler_percentage,drip_percentage,surface_percentage
fips01131,1.0,0.0,0.0
fips01133,1.0,0.0,0.0
fips02013,0.9898571428571429,0.0,0.010142857142857143
fips02016,1.0,0.0,0.0
fips02020,1.0,0.0,0.0
fips02050,0.9898571428571429,0.0,0.010142857142857143
fips02060,0.9898571428571429,0.0,0.010142857142857143
fips02063,0.9898571428571429,0.0,0.010142857142857143
fips02066,0.9898571428571429,0.0,0.010142857142857143
fips02068,0.9898571428571429,0.0,0.010142857142857143
fips02070,0.9898571428571429,0.0,0.010142857142857143
fips02090,1.0,0.0,0.0
fips02100,0.9898571428571429,0.0,0.010142857142857143
fips02105,0.9898571428571429,0.0,0.010142857142857143
fips02110,1.0,0.0,0.0
fips02122,1.0,0.0,0.0
fips02130,0.9898571428571429,0.0,0.010142857142857143
fips02150,0.9898571428571429,0.0,0.010142857142857143
fips02158,0.9898571428571429,0.0,0.010142857142857143
fips02164,0.9898571428571429,0.0,0.010142857142857143
fips02170,0.929,0.0,0.071
fips02180,0.9898571428571429,0.0,0.010142857142857143
fips02185,0.9898571428571429,0.0,0.010142857142857143
fips02188,0.9898571428571429,0.0,0.010142857142857143
fips02195,0.9898571428571429,0.0,0.010142857142857143
fips02198,0.9898571428571429,0.0,0.010142857142857143
fips02220,0.9898571428571429,0.0,0.010142857142857143
fips02230,0.9898571428571429,0.0,0.010142857142857143
fips02240,1.0,0.0,0.0
fips02275,0.9898571428571429,0.0,0.010142857142857143
fips02282,0.9898571428571429,0.0,0.010142857142857143
fips02290,0.9898571428571429,0.0,0.010142857142857143
fips04001,0.031,0.0,0.969
fips04003,0.911,0.04,0.049
fips04005,1.0,0.0,0.0
fips04007,0.731,0.0,0.269
fips04009,0.46,0.023,0.517
fips04011,0.079,0.0,0.921
fips04012,0.047,0.149,0.804
fips04013,0.01,0.09,0.901
fips04015,0.226,0.1,0.674
fips04017,0.028,0.0,0.972
fips04019,0.018,0.0,0.982
fips04021,0.055,0.056,0.889
fips04023,0.0,0.078,0.922
fips04025,0.159,0.009,0.831
fips04027,0.326,0.007,0.668
fips05001,0.0,0.0,1.0
fips05003,0.0,0.0,1.0
fips05005,0.10402127659574469,0.0,0.8959787234042552
fips05007,0.10402127659574469,0.0,0.8959787234042552
fips05009,0.10402127659574469,0.0,0.8959787234042552
fips05011,0.10402127659574469,0.0,0.8959787234042552
fips05013,0.10402127659574469,0.0,0.8959787234042552
fips05015,0.10402127659574469,0.0,0.8959787234042552
fips05017,0.126,0.0,0.874
fips05019,0.0,0.0,1.0
fips05021,0.022,0.0,0.978
fips05023,0.10402127659574469,0.0,0.8959787234042552
fips05025,0.10402127659574469,0.0,0.8959787234042552
fips05027,0.10402127659574469,0.0,0.8959787234042552
fips05029,0.0,0.0,1.0
fips05031,0.007,0.0,0.993
fips05033,0.479,0.0,0.521
fips05035,0.378,0.0,0.622
fips05037,0.079,0.0,0.921
fips05039,0.10402127659574469,0.0,0.8959787234042552
fips05041,0.018,0.0,0.982
fips05043,0.009,0.0,0.991
fips05045,0.0,0.0,1.0
fips05047,0.0,0.0,1.0
fips05049,0.0,0.0,1.0
fips05051,0.10402127659574469,0.0,0.8959787234042552
fips05053,0.10402127659574469,0.0,0.8959787234042552
fips05055,0.042,0.0,0.958
fips05057,0.10402127659574469,0.0,0.8959787234042552
fips05059,0.0,0.0,1.0
