node,ground (m3),surface (m3),total (m3),gw_percentages,sw_percentages
fips06073,99563522.096382,35091998.1710859,134655520.26746792,0.7393942847542957,0.2606057152457042
fips06077,933943418.832215,595971551.858899,1529914970.691114,0.6104544610151251,0.3895455389848749
fips06079,74721000.207776,26333518.654039,101054518.861815,0.7394127551084752,0.2605872448915248
fips06081,21512684.416329,7585261.438503509,29097945.854832508,0.7393196936874578,0.2606803063125423
fips06083,51550305.431807,18167456.1865536,69717761.6183606,0.7394142358441829,0.2605857641558172
fips06087,30079071.274469,10605426.7892094,40684498.0636784,0.7393251165933019,0.2606748834066981
fips06089,139576838.77569398,69103706.4282655,208680545.2039595,0.6688541025195945,0.3311458974804055
fips06091,22742375.433062,8015054.199950109,30757429.633012112,0.7394107929179,0.2605892070820999
fips06093,195852473.73247495,69022394.2842081,264874868.0166831,0.7394150875806732,0.2605849124193268
fips06095,384285351.105561,135442799.958577,519728151.06413805,0.7393968372094926,0.2606031627905074
fips06097,203424054.374831,71694079.0175248,275118133.3923558,0.7394062029518086,0.2605937970481913
fips06099,826932666.87045,505343359.29656506,1332276026.167015,0.6206916964869149,0.3793083035130851
fips06101,643556721.0942659,197704670.265436,841261391.3597019,0.764990201266823,0.235009798733177
fips06103,262034720.588105,92347363.6081208,354382084.19622576,0.7394130015980523,0.2605869984019477
fips06105,10404015.006740998,3670662.50316556,14074677.509906558,0.7392009514547002,0.2607990485452998
fips06107,1586439579.1155398,286613691.781984,1873053270.897524,0.846980491032887,0.153019508967113
fips06111,77857403.138095,27437040.6091046,105294443.7471996,0.7394255610013201,0.2605744389986799
fips06113,259133202.458735,445695093.620124,704828296.078859,0.3676543690149212,0.6323456309850788
fips06115,305875277.847586,107808286.999619,413683564.847205,0.7393943193284986,0.2606056806715013
fips08001,4904947.313935,95204904.6707118,100109851.9846468,0.0489956504449456,0.9510043495550544
fips08003,116212709.457767,60798251.713824496,177010961.1715915,0.6565283228144969,0.3434716771855031
fips08007,151984.282967,48415573.775930494,48567558.058897495,0.0031293375463244,0.9968706624536756
fips08009,172806129.733479,197472.34985384296,173003602.08333284,0.9988585650964728,0.0011414349035271
fips08011,10044779.428819,186483594.385506,196528373.814325,0.051111090138613,0.948888909861387
fips08013,27633.505994,118727346.344478,118754979.850472,0.000232693450235,0.9997673065497648
fips08015,13816.752997,133630700.748154,133644517.501151,0.0001033843606557,0.9998966156393444
fips08017,40400185.763228,0.0,40400185.763228,1.0,0.0
fips08021,71501696.75947501,281363250.479988,352864947.239463,0.2026319058292638,0.7973680941707362
fips08023,47501996.803686,67918872.3291425,115420869.1328285,0.4115546621730929,0.588445337826907
fips08025,4711512.771977,9827153.41037362,14538666.18235062,0.3240677454783709,0.6759322545216291
fips08027,69083.764985,40330823.4525026,40399907.2174876,0.0017099981099732,0.9982900018900268
fips08029,13816.752997,395932061.456956,395945878.20995295,3.4895559614017686e-05,0.999965104440386
fips08037,13816.752997,150032521.806602,150046338.559599,9.208323994865046e-05,0.9999079167600512
fips08039,4822046.795953,13277111.5225261,18099158.3184791,0.2664238143621147,0.7335761856378854
fips08043,221068.047952,110177955.197865,110399023.245817,0.0020024456870398,0.9979975543129602
fips08045,290151.812937,269747229.90035,270037381.713287,0.0010744875805567,0.9989255124194432
fips08049,0.0,212375704.257519,212375704.257519,0.0,1.0
fips08051,0.0,604311854.635079,604311854.635079,0.0,1.0
fips08053,290151.812937,23510825.653187,23800977.466124,0.0121907519701648,0.9878092480298352
fips08055,0.0,43873709.7292921,43873709.7292921,0.0,1.0
fips08057,0.0,395409340.530872,395409340.530872,0.0,1.0
fips08059,41450.258991,21512870.1134893,21554320.3724803,0.0019230603551723,0.9980769396448276
fips08063,153186340.477739,0.0,153186340.477739,1.0,0.0
fips08065,41450.258991,16215964.729174402,16257414.9881654,0.0025496217585128,0.9974503782414872
fips08067,124350.776973,373722230.108688,373846580.885661,0.0003326251551596,0.9996673748448404
fips08069,96717.270979,136139761.193355,136236478.46433398,0.000709921983225,0.999290078016775
fips08071,27633.505994,24474955.3612969,24502588.8672909,0.0011277790336223,0.9988722209663776
fips08075,81353041.646336,97388716.5396837,178741758.18601972,0.4551428970597371,0.5448571029402628
fips08077,41450.258991,877241874.17425,877283324.433241,4.7248429140926014e-05,0.999952751570859
fips08081,69083.764985,140182136.35506898,140251220.12005398,0.0004925715792409,0.9995074284207592
fips08083,0.0,214629212.249968,214629212.249968,0.0,1.0
