node,irrigation_water
fips08069,0.6572
fips08071,0.6003
fips08075,0.7204
fips08077,0.6173
fips08081,0.6307
fips08083,0.6396
fips08085,0.6098
fips08087,0.7197
fips08089,0.6243
fips08091,0.6008
fips08093,0.6
fips08095,0.7461
fips08097,0.6554
fips08099,0.6547
fips08101,0.6242
fips08103,0.611
fips08105,0.6988
fips08107,0.6069
fips08109,0.6741
fips08113,0.6091
fips08115,0.7246
fips08117,0.6111
fips08121,0.7306
fips08123,0.685
fips08125,0.7478
fips10001,0.7512
fips10005,0.7514
fips12001,0.777
fips12009,0.685
fips12011,0.7852
fips12015,0.7814
fips12021,0.7356
fips12027,0.8358
fips12035,0.6642
fips12041,0.7626
fips12043,0.6471
fips12047,0.7725
fips12049,0.8505
fips12051,0.6975
fips12055,0.8781
fips12057,0.8391
fips12061,0.8025
fips12063,0.7635
fips12069,0.8604
fips12071,0.7882
fips12075,0.7666
fips12079,0.7551
fips12081,0.8103
fips12083,0.7728
fips12085,0.7149
fips12086,0.7712
fips12093,0.7174
fips12095,0.8168
fips12097,0.773
fips12099,0.6265
fips12101,0.8211
fips12105,0.891
fips12107,0.6747
fips12109,0.6159
fips12111,0.7809
fips12121,0.7613
fips12127,0.878
fips13007,0.7509
fips13027,0.7569
fips13033,0.7518
fips13037,0.7514
fips13069,0.7521
fips13071,0.7578
fips13081,0.7564
fips13087,0.7546
fips13093,0.7525
fips13095,0.7688
fips13099,0.7518
fips13155,0.7542
fips13163,0.7532
fips13177,0.753
fips13193,0.7537
fips13201,0.7502
fips13205,0.7606
fips13235,0.7512
fips13243,0.7507
fips13251,0.7548
fips13253,0.7515
fips13261,0.7514
fips13273,0.7512
fips13277,0.7587
fips13287,0.754
fips13315,0.7567
fips13321,0.752
fips16001,0.6525
fips16003,0.6435
fips16005,0.7065
fips16007,0.6855
fips16011,0.735
fips16013,0.693
fips16019,0.7275
fips16021,0.6555
fips16023,0.7065
fips16025,0.69
fips16027,0.654
fips16029,0.7035
fips16031,0.714
fips16033,0.699
fips16035,0.687
fips16037,0.6675
fips16039,0.735
fips16041,0.72
fips16043,0.7215
fips16045,0.615
fips16047,0.69
fips16049,0.6735
fips16051,0.69
fips16053,0.72
fips16055,0.72
fips16057,0.654
fips16059,0.6615
fips16061,0.687
fips16063,0.69
fips16065,0.726
fips16067,0.7245
fips16069,0.678
fips16071,0.702
fips16073,0.684
fips16075,0.624
fips16077,0.744
fips16081,0.7125
fips16083,0.675
fips16085,0.6374
fips16087,0.6615
fips17017,0.75
fips17101,0.75
fips17125,0.75
fips17179,0.75
fips17193,0.75
fips17195,0.75
fips18073,0.75
fips18091,0.75
fips20009,0.7417
fips20023,0.7509
fips20027,0.7298
fips20029,0.7343
fips20039,0.7464
fips20047,0.7492
fips20055,0.7477
fips20057,0.7505
fips20063,0.7446
fips20065,0.75
fips20067,0.7488
fips20069,0.7485
fips20071,0.7455
fips20075,0.7443
fips20079,0.7495
fips20081,0.7516
fips20083,0.7379
fips20089,0.749
fips20093,0.7473
fips20095,0.75
fips20097,0.7497
fips20101,0.7461
fips20113,0.76
fips20119,0.7497
fips20123,0.7389
fips20129,0.7491
fips20137,0.7316
fips20145,0.7496
fips20147,0.7451
fips20151,0.7504
fips20153,0.7485
fips20155,0.7484
fips20157,0.7336
fips20159,0.7482
fips20165,0.697
fips20171,0.733
fips20173,0.7383
fips20175,0.7503
fips20179,0.7512
fips20181,0.7494
fips20185,0.7498
fips20187,0.749
fips20189,0.7493
fips20193,0.7497
fips20199,0.7516
fips20203,0.744
fips22001,0.6
fips22003,0.6
fips22009,0.6026
fips22019,0.6024
fips22023,0.6
fips22025,0.6423
fips22029,0.628
fips22035,0.6338
fips22039,0.6
fips22041,0.6143
fips22053,0.6006
fips22065,0.6498
fips22067,0.6093
fips22069,0.6542
fips22073,0.6084
fips22077,0.6
fips22079,0.6
fips22083,0.6129
fips22097,0.6002
fips22107,0.6294
fips22113,0.6
fips22123,0.6264
fips24011,0.7619
fips24019,0.7619
fips24035,0.7619
fips25023,0.6219
fips26005,0.7582
fips26009,0.7582
fips26021,0.7582
fips26023,0.7582
fips26027,0.7582
fips26077,0.7582
fips26107,0.7582
fips26117,0.7582
fips26149,0.7582
fips26159,0.7582
fips27037,0.75
fips27057,0.75
fips27097,0.75
fips27111,0.75
fips27121,0.75
fips27141,0.75
fips27145,0.75
fips27151,0.75
fips27159,0.75
fips28011,0.6141
fips28015,0.684
fips28027,0.6406
fips28033,0.6471
fips28051,0.6708
fips28053,0.6466
fips28055,0.6415
fips28083,0.6357
fips28103,0.7496
fips28107,0.6561
fips28119,0.6188
fips28125,0.6288
fips28133,0.6208
fips28135,0.6462
fips28143,0.6354
fips28151,0.6178
fips28163,0.6762
fips29005,0.6759
fips29007,0.6762
fips29011,0.6762
fips29023,0.6753
fips29031,0.6762
fips29069,0.6753
fips29087,0.676
fips29133,0.6753
fips29143,0.6753
fips29155,0.6753
fips29181,0.6762
fips29201,0.6753
fips29207,0.6753
fips30001,0.6672
fips30003,0.6393
fips30005,0.6795
fips30007,0.7355
fips30009,0.6231
fips30011,0.6778
fips30013,0.6742
fips30015,0.7273
fips30017,0.6232
fips30021,0.6302
fips30023,0.7121
fips30027,0.655
fips30029,0.7366
fips30031,0.7329
fips30035,0.7025
fips30037,0.6667
fips30039,0.6708
fips30041,0.7328
fips30043,0.7002
fips30045,0.7208
fips30047,0.7486
fips30049,0.7005
fips30051,0.7268
fips30053,0.6915
fips30055,0.6414
fips30057,0.6999
fips30059,0.6714
fips30063,0.7202
fips30065,0.646
fips30067,0.7022
fips30069,0.6339
fips30071,0.6265
fips30073,0.7158
fips30075,0.6076
fips30077,0.6693
fips30079,0.6585
fips30081,0.6664
fips30083,0.6362
fips30085,0.6836
fips30087,0.6307
fips30089,0.7449
fips30091,0.74
fips30093,0.7341
fips30095,0.6091
fips30097,0.667
fips30099,0.6882
fips30101,0.7374
fips30103,0.6412
fips30105,0.6423
fips30107,0.625
fips30111,0.6184
fips31001,0.7078
fips31003,0.7454
fips31005,0.7383
fips31007,0.704
fips31009,0.7336
fips31011,0.7376
fips31013,0.7447
fips31015,0.6864
fips31017,0.6996
fips31019,0.7016
fips31021,0.7179
fips31023,0.7162
fips31027,0.744
fips31029,0.7456
fips31031,0.7394
fips31033,0.7466
fips31035,0.7035
fips31037,0.7352
fips31039,0.7452
fips31041,0.7191
fips31043,0.728
fips31045,0.688
fips31047,0.6814
fips31049,0.7196
fips31051,0.7333
fips31053,0.7273
fips31055,0.7065
fips31057,0.749
fips31059,0.7377
fips31061,0.7002
fips31063,0.678
fips31065,0.7029
fips31067,0.6938
fips31069,0.7298
fips31071,0.6988
fips31073,0.6908
fips31077,0.7263
fips31079,0.6723
fips31081,0.699
fips31083,0.7091
fips31085,0.7332
fips31087,0.7106
fips31089,0.744
fips31093,0.6814
fips31095,0.7281
fips31097,0.7216
fips31099,0.7074
fips31101,0.7191
fips31103,0.7284
fips31105,0.7488
fips31107,0.733
fips31111,0.7188
fips31113,0.7473
fips31115,0.6996
fips31117,0.7465
fips31119,0.7433
fips31121,0.685
fips31123,0.7007
fips31125,0.7023
fips31127,0.6998
fips31129,0.7029
fips31135,0.7464
fips31137,0.7016
fips31139,0.7476
fips31141,0.7312
fips31143,0.6987
fips31145,0.7152
fips31149,0.7383
fips31151,0.7078
fips31155,0.7368
fips31157,0.6294
fips31159,0.7182
fips31161,0.7368
fips31163,0.7204
fips31165,0.6892
fips31167,0.745
fips31169,0.7324
fips31175,0.7011
fips31177,0.678
fips31179,0.7468
fips31181,0.7234
fips31183,0.73
fips31185,0.7101
fips32001,0.6012
fips32003,0.7262
fips32005,0.6224
fips32007,0.6062
fips32009,0.75
fips32011,0.7454
fips32013,0.724
fips32015,0.7317
fips32017,0.7426
fips32019,0.6849
fips32021,0.75
fips32023,0.7332
fips32027,0.6276
fips32031,0.6338
fips32033,0.7393
fips34001,0.7866
fips34005,0.7866
fips34011,0.7866
fips35001,0.6
fips35003,0.6
fips35005,0.6658
fips35007,0.6297
fips35009,0.75
fips35011,0.6454
fips35013,0.602
fips35015,0.602
fips35017,0.6045
fips35019,0.6008
fips35023,0.7072
fips35025,0.7506
fips35027,0.6128
fips35029,0.7536
fips35035,0.667
fips35037,0.6398
fips35039,0.6003
fips35041,0.75
fips35043,0.6042
fips35045,0.7233
fips35047,0.6074
fips35049,0.6448
fips35051,0.6066
fips35053,0.6016
fips35055,0.6052
fips35057,0.7033
fips35059,0.7464
fips35061,0.6074
fips37163,0.7575
fips38021,0.75
fips38035,0.75
fips38043,0.75
fips38049,0.688
fips38053,0.6218
fips38073,0.7492
fips38081,0.75
fips38105,0.6631
fips39085,0.7797
fips40007,0.75
fips40009,0.75
fips40015,0.75
fips40025,0.75
fips40039,0.75
fips40045,0.75
fips40051,0.7425
fips40057,0.678
fips40059,0.7425
fips40065,0.7056
fips40073,0.75
fips40093,0.75
fips40101,0.7425
fips40139,0.75
fips40141,0.783
fips40149,0.75
fips41001,0.6315
fips41003,0.7515
fips41005,0.7545
fips41011,0.7425
fips41013,0.7095
fips41017,0.7035
fips41019,0.7433
fips41021,0.7228
fips41023,0.675
fips41025,0.6465
fips41027,0.7575
fips41029,0.693
fips41031,0.735
fips41033,0.693
fips41035,0.726
fips41037,0.696
fips41039,0.753
fips41043,0.7545
fips41045,0.6585
fips41047,0.7575
fips41049,0.7689
fips41051,0.7515
fips41053,0.7515
fips41059,0.7665
fips41061,0.7065
fips41063,0.696
fips41065,0.747
fips41067,0.7545
fips41069,0.6602
fips41071,0.756
fips45017,0.755
fips45075,0.7551
fips45085,0.7551
fips46007,0.75
fips46027,0.7491
fips46065,0.62
fips46115,0.7264
fips46119,0.6132
fips46121,0.7434
fips46125,0.75
fips46135,0.7432
fips48003,0.7515
fips48013,0.75
fips48017,0.759
fips48039,0.6138
fips48041,0.6009
fips48045,0.6651
fips48051,0.6546
fips48061,0.6033
fips48065,0.6412
fips48069,0.759
fips48071,0.6
fips48075,0.7153
fips48079,0.7575
fips48087,0.7454
fips48089,0.6
fips48093,0.7862
fips48107,0.81
fips48109,0.7844
fips48111,0.7494
fips48115,0.7544
fips48117,0.786
fips48129,0.7374
fips48141,0.6003
fips48147,0.7466
fips48153,0.813
fips48157,0.6118
fips48163,0.7393
fips48165,0.75
fips48173,0.8718
fips48179,0.7249
fips48189,0.7755
fips48191,0.7485
fips48195,0.6926
fips48197,0.6994
fips48205,0.7485
fips48207,0.7398
fips48215,0.6243
fips48219,0.7995
fips48229,0.713
fips48233,0.6882
fips48239,0.6051
fips48245,0.611
fips48275,0.7184
fips48279,0.7605
fips48291,0.6152
fips48295,0.7485
fips48303,0.7995
fips48305,0.792
fips48317,0.7574
fips48321,0.64
fips48323,0.6055
fips48325,0.657
fips48335,0.7581
fips48341,0.7343
fips48353,0.7389
fips48357,0.6711
fips48369,0.759
fips48371,0.6458
fips48383,0.6147
fips48389,0.6702
fips48395,0.6236
fips48421,0.7428
fips48437,0.7905
fips48445,0.75
fips48451,0.6704
fips48463,0.6864
fips48481,0.6224
fips48483,0.75
fips48487,0.75
fips48489,0.6027
fips48493,0.7449
fips48501,0.7515
fips48507,0.6473
fips49001,0.7122
fips49003,0.6459
fips49005,0.695
fips49007,0.6814
fips49009,0.6747
fips49011,0.6244
fips49013,0.6858
fips49015,0.6669
fips49017,0.6808
fips49019,0.6987
fips49021,0.7396
fips49023,0.7194
fips49025,0.6644
fips49027,0.661
fips49029,0.6427
fips49031,0.6476
fips49033,0.6222
fips49035,0.646
fips49037,0.6842
fips49039,0.6768
fips49041,0.6382
fips49043,0.6279
fips49045,0.6771
fips49047,0.6843
fips49049,0.6591
fips49051,0.6795
fips49053,0.676
fips49055,0.7017
fips49057,0.6246
fips51001,0.8246
fips53001,0.7287
fips53005,0.7426
fips53007,0.7509
fips53017,0.7584
fips53021,0.7466
fips53025,0.7262
fips53037,0.6858
fips53039,0.749
fips53043,0.7594
fips53047,0.7581
fips53057,0.757
fips53071,0.7605
fips53073,0.7578
fips53077,0.7218
fips55001,0.7476
fips55033,0.75
fips55053,0.6867
fips55057,0.7214
fips55067,0.7507
fips55081,0.6277
fips55085,0.7032
fips55097,0.7509
fips55137,0.7503
fips55141,0.6218
fips56001,0.6026
fips56003,0.6057
fips56007,0.601
fips56009,0.616
fips56011,0.6784
fips56013,0.6108
fips56015,0.6362
fips56017,0.605
fips56019,0.6248
fips56021,0.7191
fips56023,0.6717
fips56025,0.6122
fips56027,0.7359
fips56029,0.6209
fips56031,0.6312
fips56033,0.66
fips56035,0.6158
fips56037,0.6657
fips56039,0.6306
fips56041,0.6158
fips56043,0.612
fips56045,0.6114
