Date,Week,Month,Year,Region,Diesel Price
07/01/2013,26,6,2013,East Coast,3.817
07/01/2013,26,6,2013,New England,3.971
07/01/2013,26,6,2013,Central Atlantic,3.892
07/01/2013,26,6,2013,Lower Atlantic,3.731
07/01/2013,26,6,2013,Midwest,3.815
07/01/2013,26,6,2013,Gulf Coast,3.734
07/01/2013,26,6,2013,Rocky Mountains,3.819
07/01/2013,26,6,2013,West Coast,3.942
07/01/2013,26,6,2013,California,4.015
07/01/2013,26,6,2013,West Coast exc California,3.856
07/08/2013,27,7,2013,US,3.828
07/08/2013,27,7,2013,East Coast,3.831
07/08/2013,27,7,2013,New England,3.965
07/08/2013,27,7,2013,Central Atlantic,3.895
07/08/2013,27,7,2013,Lower Atlantic,3.757
07/08/2013,27,7,2013,Midwest,3.821
07/08/2013,27,7,2013,Gulf Coast,3.753
07/08/2013,27,7,2013,Rocky Mountains,3.811
07/08/2013,27,7,2013,West Coast,3.951
07/08/2013,27,7,2013,California,4.026
07/08/2013,27,7,2013,West Coast exc California,3.864
07/15/2013,28,7,2013,US,3.867
07/15/2013,28,7,2013,East Coast,3.876
07/15/2013,28,7,2013,New England,4.005
07/15/2013,28,7,2013,Central Atlantic,3.939
07/15/2013,28,7,2013,Lower Atlantic,3.804
07/15/2013,28,7,2013,Midwest,3.852
07/15/2013,28,7,2013,Gulf Coast,3.798
07/15/2013,28,7,2013,Rocky Mountains,3.829
07/15/2013,28,7,2013,West Coast,3.997
07/15/2013,28,7,2013,California,4.065
07/15/2013,28,7,2013,West Coast exc California,3.917
07/22/2013,29,7,2013,US,3.903
07/22/2013,29,7,2013,East Coast,3.919
07/22/2013,29,7,2013,New England,4.047
07/22/2013,29,7,2013,Central Atlantic,3.971
07/22/2013,29,7,2013,Lower Atlantic,3.857
07/22/2013,29,7,2013,Midwest,3.875
07/22/2013,29,7,2013,Gulf Coast,3.841
07/22/2013,29,7,2013,Rocky Mountains,3.866
07/22/2013,29,7,2013,West Coast,4.041
07/22/2013,29,7,2013,California,4.113
07/22/2013,29,7,2013,West Coast exc California,3.956
07/29/2013,30,7,2013,US,3.915
07/29/2013,30,7,2013,East Coast,3.931
