node,carbon_intensity_carrier_import
fips48045,362.87
fips48051,362.87
fips48061,362.87
fips48065,362.87
fips48069,362.87
fips48071,362.87
fips48075,362.87
fips48079,362.87
fips48087,362.87
fips48089,362.87
fips48093,362.87
fips48107,362.87
fips48109,362.87
fips48111,362.87
fips48115,362.87
fips48117,362.87
fips48129,362.87
fips48141,362.87
fips48147,362.87
fips48153,362.87
fips48157,362.87
fips48163,362.87
fips48165,362.87
fips48173,362.87
fips48179,362.87
fips48189,362.87
fips48191,362.87
fips48195,362.87
fips48197,362.87
fips48205,362.87
fips48207,362.87
fips48215,362.87
fips48219,362.87
fips48229,362.87
fips48233,362.87
fips48239,362.87
fips48245,362.87
fips48275,362.87
fips48279,362.87
fips48291,362.87
fips48295,362.87
fips48303,362.87
fips48305,362.87
fips48317,362.87
fips48321,362.87
fips48323,362.87
fips48325,362.87
fips48335,362.87
fips48341,362.87
fips48353,362.87
fips48357,362.87
fips48369,362.87
fips48371,362.87
fips48383,362.87
fips48389,362.87
fips48395,362.87
fips48421,362.87
fips48437,362.87
fips48445,362.87
fips48451,362.87
fips48463,362.87
fips48481,362.87
fips48483,362.87
fips48487,362.87
fips48489,362.87
fips48493,362.87
fips48501,362.87
fips48507,362.87
fips49001,652.72
fips49003,652.72
fips49005,652.72
fips49007,652.72
fips49009,652.72
fips49011,652.72
fips49013,652.72
fips49015,652.72
fips49017,652.72
fips49019,652.72
fips49021,652.72
fips49023,652.72
fips49025,652.72
fips49027,652.72
fips49029,652.72
fips49031,652.72
fips49033,652.72
fips49035,652.72
fips49037,652.72
fips49039,652.72
fips49041,652.72
fips49043,652.72
fips49045,652.72
fips49047,652.72
fips49049,652.72
fips49051,652.72
fips49053,652.72
fips49055,652.72
fips49057,652.72
fips51001,268.98
fips53001,83.91
fips53005,83.91
fips53007,83.91
fips53017,83.91
fips53021,83.91
fips53025,83.91
fips53037,83.91
fips53039,83.91
fips53043,83.91
fips53047,83.91
fips53057,83.91
fips53071,83.91
fips53073,83.91
fips53077,83.91
fips55001,500.31
fips55033,500.31
fips55053,500.31
fips55057,500.31
fips55067,500.31
fips55081,500.31
fips55085,500.31
fips55097,500.31
fips55137,500.31
fips55141,500.31
fips56001,767.93
fips56003,767.93
fips56007,767.93
fips56009,767.93
fips56011,767.93
fips56013,767.93
fips56015,767.93
fips56017,767.93
fips56019,767.93
fips56021,767.93
fips56023,767.93
fips56025,767.93
fips56027,767.93
fips56029,767.93
fips56031,767.93
fips56033,767.93
fips56035,767.93
fips56037,767.93
fips56039,767.93
fips56041,767.93
fips56043,767.93
fips56045,767.93
