node,diesel,blue_water
fips56015,0.5566,1
fips56017,0.1837,1
fips56019,0.1332,1
fips56021,1.4853,1
fips56023,0.1623,1
fips56025,0.1278,1
fips56027,1.8636,1
fips56029,0.1278,1
fips56031,0.4388,1
fips56033,0.1278,1
fips56035,0.3117,1
fips56037,0.3312,1
fips56039,0.1278,1
fips56041,0.3117,1
fips56043,0.1806,1
fips56045,0.158,1
