node,diesel,blue_water
fips28125,0.4822,1
fips28133,0.4749,1
fips28135,0.4982,1
fips28143,0.4883,1
fips28151,0.4722,1
fips28163,0.5258,1
fips29005,0.1224,1
fips29007,0.0569,1
fips29011,0.1209,1
fips29023,0.126,1
fips29031,0.1265,1
fips29069,0.1224,1
fips29087,0.0862,1
fips29133,0.1264,1
fips29143,0.1224,1
fips29155,0.1264,1
fips29181,0.1225,1
fips29201,0.1224,1
fips29207,0.1256,1
fips30001,0.0392,1
fips30003,0.0399,1
fips30005,0.0418,1
fips30007,0.0404,1
fips30009,0.0385,1
fips30011,0.0477,1
fips30013,0.0404,1
fips30015,0.0425,1
fips30017,0.04,1
fips30021,0.039,1
fips30023,0.0403,1
fips30027,0.0434,1
fips30029,0.1331,1
fips30031,0.0463,1
fips30035,0.0393,1
fips30037,0.0383,1
fips30039,0.0393,1
fips30041,0.0629,1
fips30043,0.0417,1
fips30045,0.0412,1
fips30047,0.041,1
fips30049,0.0494,1
fips30051,0.0388,1
fips30053,0.0494,1
fips30055,0.0385,1
fips30057,0.0388,1
fips30059,0.0394,1
fips30063,0.0576,1
fips30065,0.0389,1
fips30067,0.0395,1
fips30069,0.0398,1
fips30071,0.0405,1
fips30073,0.0411,1
fips30075,0.0425,1
fips30077,0.0401,1
fips30079,0.0434,1
fips30081,0.0423,1
fips30083,0.0389,1
fips30085,0.0449,1
fips30087,0.0403,1
fips30089,0.0459,1
fips30091,0.2326,1
fips30093,0.0434,1
fips30095,0.042,1
fips30097,0.0386,1
fips30099,0.0387,1
fips30101,0.0455,1
fips30103,0.0404,1
fips30105,0.0436,1
fips30107,0.0405,1
fips30111,0.0405,1
fips31001,0.4708,1
fips31003,0.6615,1
fips31005,0.7016,1
fips31007,0.3563,1
fips31009,0.6042,1
fips31011,0.6314,1
fips31013,0.7052,1
fips31015,0.2819,1
fips31017,0.3604,1
fips31019,0.4881,1
fips31021,0.3488,1
fips31023,0.4968,1
fips31027,0.4674,1
fips31029,0.6943,1
fips31031,0.6513,1
fips31033,0.5623,1
fips31035,0.4558,1
fips31037,0.3742,1
fips31039,0.4253,1
fips31041,0.6726,1
fips31043,0.3637,1
fips31045,0.1918,1
fips31047,0.4401,1
fips31049,0.3675,1
fips31051,0.4121,1
fips31053,0.304,1
fips31055,0.2821,1
fips31057,0.5657,1
fips31059,0.5477,1
fips31061,0.4665,1
fips31063,0.6419,1
fips31065,0.2778,1
fips31067,0.3652,1
fips31069,0.4744,1
fips31071,0.4778,1
fips31073,0.526,1
fips31077,0.6693,1
fips31079,0.3084,1
fips31081,0.465,1
fips31083,0.4694,1
fips31085,0.7911,1
fips31087,0.3395,1
fips31089,0.541,1
fips31093,0.2657,1
fips31095,0.4905,1
fips31097,0.454,1
fips31099,0.4227,1
fips31101,0.5264,1
fips31103,0.4916,1
fips31105,0.544,1
fips31107,0.4802,1
fips31111,0.5778,1
fips31113,0.6841,1
fips31115,0.4509,1
fips31117,0.7149,1
fips31119,0.5585,1
fips31121,0.2379,1
fips31123,0.2821,1
fips31125,0.2861,1
fips31127,0.2226,1
fips31129,0.3635,1
fips31135,0.8852,1
fips31137,0.4273,1
fips31139,0.5465,1
fips31141,0.4497,1
fips31143,0.474,1
fips31145,0.3511,1
fips31149,0.5958,1
fips31151,0.4216,1
fips31155,0.4196,1
fips31157,0.0918,1
fips31159,0.4369,1
fips31161,0.5785,1
fips31163,0.6462,1
fips31165,0.2247,1
fips31167,0.4009,1
fips31169,0.4643,1
fips31175,0.4773,1
fips31177,0.2959,1
fips31179,0.5603,1
fips31181,0.3827,1
fips31183,0.6446,1
fips31185,0.4986,1
fips32001,0.0524,1
fips32003,0.6353,1
fips32005,0.1115,1
fips32007,0.0773,1
fips32009,0.8921,1
fips32011,0.8676,1
fips32013,0.8812,1
fips32015,0.8345,1
fips32017,0.6272,1
fips32019,0.0934,1
fips32021,0.9801,1
fips32023,0.8236,1
fips32027,0.2848,1
fips32031,0.2229,1
