node,diesel,blue_water
fips35001,0.1008,1
fips35003,0.0703,1
fips35005,0.4919,1
fips35007,0.103,1
fips35009,1.0991,1
fips35011,0.2079,1
fips35013,0.2215,1
fips35015,0.3658,1
fips35017,0.1018,1
fips35019,0.0895,1
fips35023,0.7569,1
fips35025,0.6505,1
fips35027,0.1719,1
fips35029,0.1903,1
fips35035,0.5607,1
fips35037,0.1414,1
fips35039,0.0656,1
fips35041,0.5132,1
fips35043,0.0714,1
fips35045,0.0639,1
fips35047,0.0639,1
fips35049,0.4248,1
fips35051,0.2661,1
fips35053,0.1793,1
fips35055,0.0676,1
fips35057,0.7414,1
fips35059,0.567,1
fips35061,0.094,1
fips37163,0.2148,1
fips38021,0.7343,1
fips38035,0.7011,1
fips38043,0.7925,1
fips38049,0.3249,1
fips38053,0.0822,1
fips38073,0.7512,1
fips38081,0.7986,1
fips38105,0.2663,1
fips39085,0.0886,1
fips40007,1.1182,1
fips40009,0.6022,1
fips40015,0.9978,1
fips40025,1.1931,1
fips40039,0.9295,1
fips40045,0.9545,1
fips40051,0.3701,1
fips40057,0.546,1
fips40059,0.4226,1
fips40065,0.1263,1
fips40073,0.4993,1
fips40093,0.5337,1
fips40101,0.147,1
fips40139,1.3459,1
fips40141,0.4138,1
fips40149,0.8509,1
fips41001,0.1862,1
fips41003,0.1546,1
fips41005,0.3088,1
fips41011,0.121,1
fips41013,0.1884,1
fips41017,0.1141,1
fips41019,0.0891,1
fips41021,2.5605,1
fips41023,0.0874,1
fips41025,0.7103,1
fips41027,0.0699,1
fips41029,0.0701,1
fips41031,0.1001,1
fips41033,0.1263,1
fips41035,0.3468,1
fips41037,0.3357,1
fips41039,0.2232,1
fips41043,0.2933,1
fips41045,0.1023,1
fips41047,0.2604,1
fips41049,0.4338,1
fips41051,0.2509,1
fips41053,0.1412,1
fips41059,0.5568,1
fips41061,0.4678,1
fips41063,0.1574,1
fips41065,0.6674,1
fips41067,0.1274,1
fips41069,0.1029,1
fips41071,0.1535,1
fips45017,0.9945,1
fips45075,0.7733,1
fips45085,0.863,1
fips46007,1.1496,1
fips46027,0.6525,1
fips46065,0.1402,1
fips46115,0.48,1
fips46119,0.098,1
fips46121,0.9662,1
fips46125,0.5793,1
fips46135,0.6925,1
fips48003,0.9589,1
fips48013,2.5695,1
fips48017,0.8365,1
fips48039,0.1356,1
fips48041,0.5009,1
fips48045,0.3787,1
fips48051,0.4129,1
fips48061,0.0648,1
fips48065,1.7644,1
fips48069,1.2786,1
fips48071,0.0643,1
fips48075,0.7101,1
fips48079,0.8635,1
fips48087,0.5797,1
fips48089,0.4213,1
fips48093,0.6089,1
fips48107,0.9324,1
fips48109,3.2733,1
fips48111,1.5359,1
fips48115,0.7346,1
fips48117,1.1649,1
fips48129,0.8184,1
fips48141,0.2498,1
fips48147,0.1537,1
fips48153,1.0938,1
fips48157,0.5345,1
fips48163,3.2821,1
fips48165,0.8706,1
fips48173,0.8665,1
fips48179,1.4041,1
fips48189,0.9661,1
fips48191,0.591,1
fips48195,1.6149,1
fips48197,0.6312,1
fips48205,1.7791,1
fips48207,0.6854,1
fips48215,0.0642,1
fips48219,0.7638,1
fips48229,1.084,1
fips48233,1.4057,1
fips48239,1.2308,1
fips48245,0.0657,1
fips48275,0.5481,1
fips48279,0.9342,1
fips48291,0.103,1
fips48295,1.2289,1
fips48303,0.7465,1
fips48305,0.5898,1
fips48317,0.6754,1
fips48321,0.7792,1
fips48323,0.0651,1
fips48325,0.5639,1
fips48335,1.3895,1
fips48341,1.7957,1
fips48353,0.9687,1
fips48357,1.6602,1
fips48369,1.3985,1
fips48371,2.5886,1
fips48383,0.9713,1
fips48389,2.6349,1
fips48395,0.418,1
fips48421,1.5822,1
fips48437,0.6721,1
fips48445,0.7561,1
fips48451,0.5248,1
fips48463,1.2556,1
fips48481,0.9298,1
fips48483,0.6689,1
fips48487,0.4681,1
fips48489,0.0652,1
fips48493,2.2986,1
fips48501,0.8623,1
fips48507,1.772,1
fips49001,0.903,1
fips49003,0.1956,1
fips49005,0.2191,1
fips49007,0.0675,1
fips49009,0.0708,1
fips49011,0.12,1
fips49013,0.0643,1
fips49015,0.0649,1
fips49017,0.0889,1
fips49019,0.1012,1
fips49021,1.2278,1
fips49023,0.8084,1
fips49025,0.1653,1
fips49027,0.8097,1
fips49029,0.0676,1
fips49031,0.1161,1
fips49033,0.0745,1
fips49035,0.1034,1
fips49037,0.1594,1
fips49039,0.1196,1
fips49041,0.5124,1
fips49043,0.0668,1
fips49045,0.4043,1
fips49047,0.0709,1
fips49049,0.2436,1
fips49051,0.0856,1
fips49053,0.2494,1
fips49055,0.0933,1
fips49057,0.093,1
fips51001,0.1665,1
fips53001,0.3408,1
fips53005,0.1712,1
fips53007,0.0993,1
fips53017,0.1815,1
fips53021,0.2182,1
fips53025,0.2102,1
fips53037,0.1375,1
fips53039,0.4836,1
fips53043,0.5279,1
fips53047,0.3278,1
fips53057,0.5209,1
fips53071,0.3292,1
fips53073,0.5741,1
fips53077,0.1898,1
fips55001,0.865,1
fips55033,1.0266,1
fips55053,0.2071,1
fips55057,0.5273,1
fips55067,1.0209,1
fips55081,0.1666,1
fips55085,0.0917,1
fips55097,0.8258,1
fips55137,1.022,1
fips55141,0.1173,1
fips56001,0.0639,1
fips56003,0.0687,1
fips56007,0.0668,1
fips56009,0.0832,1
fips56011,0.1148,1
fips56013,0.0639,1
fips56015,0.2783,1
fips56017,0.0918,1
fips56019,0.0666,1
fips56021,0.7427,1
fips56023,0.0811,1
fips56025,0.0639,1
fips56027,0.9318,1
fips56029,0.0639,1
fips56031,0.2194,1
fips56033,0.0639,1
fips56035,0.1559,1
fips56037,0.1656,1
fips56039,0.0639,1
fips56041,0.1558,1
fips56043,0.0903,1
fips56045,0.079,1
