Name,price electricity [ct./kWh],Year
Rhode Island,16.42,2017
Rhode Island,18.1,2018
Rhode Island,18.49,2019
Rhode Island,18.54,2020
Rhode Island,18.44,2021
South Carolina,9.24,2013
South Carolina,9.67,2014
South Carolina,9.58,2015
South Carolina,9.79,2016
South Carolina,9.97,2017
South Carolina,9.67,2018
South Carolina,10.02,2019
South Carolina,9.9,2020
South Carolina,9.96,2021
South Dakota,8.86,2013
South Dakota,9.05,2014
South Dakota,9.47,2015
South Dakota,9.83,2016
South Dakota,10.05,2017
South Dakota,9.97,2018
South Dakota,9.96,2019
South Dakota,10.06,2020
South Dakota,10.43,2021
Tennessee,9.13,2013
Tennessee,9.4,2014
Tennessee,9.3,2015
Tennessee,9.23,2016
Tennessee,9.45,2017
Tennessee,9.58,2018
Tennessee,9.69,2019
Tennessee,9.52,2020
Tennessee,9.78,2021
Texas,8.66,2013
Texas,8.94,2014
Texas,8.7,2015
Texas,8.43,2016
Texas,8.38,2017
Texas,8.48,2018
Texas,8.6,2019
Texas,8.36,2020
Texas,9.14,2021
U.S. Total,10.1,2013
U.S. Total,10.44,2014
U.S. Total,10.41,2015
U.S. Total,10.27,2016
U.S. Total,10.48,2017
U.S. Total,10.53,2018
U.S. Total,10.54,2019
U.S. Total,10.59,2020
U.S. Total,11.1,2021
Utah,8.15,2013
Utah,8.35,2014
Utah,8.54,2015
Utah,8.72,2016
Utah,8.6,2017
Utah,8.21,2018
Utah,8.24,2019
Utah,8.27,2020
Utah,8.34,2021
Vermont,14.6,2013
Vermont,14.57,2014
Vermont,14.41,2015
Vermont,14.46,2016
Vermont,14.6,2017
Vermont,15.13,2018
Vermont,15.36,2019
Vermont,16.33,2020
Vermont,16.34,2021
Virginia,8.96,2013
Virginia,9.17,2014
Virginia,9.31,2015
Virginia,9.09,2016
Virginia,9.18,2017
Virginia,9.48,2018
Virginia,9.52,2019
Virginia,9.16,2020
Virginia,9.14,2021
Washington,7.09,2013
Washington,7.13,2014
Washington,7.4,2015
Washington,7.68,2016
Washington,7.94,2017
Washington,8,2018
Washington,8.04,2019
Washington,8.33,2020
Washington,8.75,2021
West Virginia,7.91,2013
West Virginia,7.65,2014
West Virginia,8.11,2015
West Virginia,8.98,2016
West Virginia,9,2017
West Virginia,8.72,2018
West Virginia,8.49,2019
West Virginia,8.75,2020
West Virginia,8.87,2021
Wisconsin,10.5,2013
Wisconsin,10.57,2014
Wisconsin,10.73,2015
Wisconsin,10.67,2016
Wisconsin,10.76,2017
Wisconsin,10.58,2018
Wisconsin,10.66,2019
Wisconsin,10.82,2020
Wisconsin,11.01,2021
Wyoming,7.55,2013
Wyoming,7.76,2014
Wyoming,7.97,2015
Wyoming,8.19,2016
Wyoming,8.28,2017
Wyoming,8.09,2018
Wyoming,8.1,2019
Wyoming,8.27,2020
Wyoming,8.25,2021
